# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +7.9199999999999999e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -3.1412784970780545e-02 -5.9500780149821797e-01 +6.0699039924117766e-03
1.0000000000000001e-01 +7.9199997166791620e+00 +0.0000000000000000e+00 +9.9999999999464878e-02 -3.1412543109067430e-02 -5.9500724271074978e-01 +6.0700674701726562e-03
2.0000000000000001e-01 +7.9199988667169992e+00 +0.0000000000000000e+00 +1.9999999999571891e-01 -3.1412283242659211e-02 -5.9500670337701733e-01 +6.0702269051542343e-03
3.0000000000000004e-01 +7.9199974501140256e+00 +0.0000000000000000e+00 +2.9999999998555127e-01 -3.1412008009086792e-02 -5.9500618248070569e-01 +6.0703822213722270e-03
4.0000000000000002e-01 +7.9199954668707369e+00 +0.0000000000000000e+00 +3.9999999996575120e-01 -3.1411720045889033e-02 -5.9500567900550005e-01 +6.0705333428419288e-03
5.0000000000000000e-01 +7.9199929169876135e+00 +0.0000000000000000e+00 +4.9999999993310790e-01 -3.1411421990610977e-02 -5.9500519193508528e-01 +6.0706801935782760e-03
5.9999999999999998e-01 +7.9199898004651192e+00 +0.0000000000000000e+00 +5.9999999988441055e-01 -3.1411116480802075e-02 -5.9500472025314499e-01 +6.0708226975959749e-03
6.9999999999999996e-01 +7.9199861173037025e+00 +0.0000000000000000e+00 +6.9999999981644834e-01 -3.1410806154014446e-02 -5.9500426294336173e-01 +6.0709607789095881e-03
7.9999999999999993e-01 +7.9199818675038003e+00 +0.0000000000000000e+00 +7.9999999972601055e-01 -3.1410493647801095e-02 -5.9500381898941734e-01 +6.0710943615336199e-03
8.9999999999999991e-01 +7.9199770510658345e+00 +0.0000000000000000e+00 +8.9999999960988641e-01 -3.1410181599714114e-02 -5.9500338737499092e-01 +6.0712233694826187e-03
9.9999999999999989e-01 +7.9199716679902172e+00 +0.0000000000000000e+00 +9.9999999946486506e-01 -3.1409872647302987e-02 -5.9500296708376044e-01 +6.0713477267712711e-03
1.0999999999999999e+00 +7.9199657182773491e+00 +0.0000000000000000e+00 +1.0999999992877358e+00 -3.1409569428112738e-02 -5.9500255709939953e-01 +6.0714673574144900e-03
1.2000000000000000e+00 +7.9199592019276199e+00 +0.0000000000000000e+00 +1.1999999990752879e+00 -3.1409274579682241e-02 -5.9500215640558074e-01 +6.0715821854275247e-03
1.3000000000000000e+00 +7.9199521189414126e+00 +0.0000000000000000e+00 +1.2999999988243105e+00 -3.1408990739542370e-02 -5.9500176398597204e-01 +6.0716921348260436e-03
