# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -5.3928199181471370e-01 +7.3641732923721461e+00 -9.3504891914923657e-02 +1.0542780985965797e+01 -4.1467961195788066e+03 -1.0964131577792387e+05 +1.7485753070690054e+07 
-1.0000000000000001e-01 -5.3928230249796616e-01 +7.3641329707642011e+00 -8.8372337456813152e-02 +1.1452663095884098e+01 -4.2096032207216513e+03 -1.1458587712587359e+05 +1.7715866557040218e+07 
-2.0000000000000001e-01 -5.3928261578244507e-01 +7.3640941611208861e+00 -8.3996812732561169e-02 +1.2346178577869951e+01 -4.2593840433395144e+03 -1.1952009395532863e+05 +1.7893379554617994e+07 
-3.0000000000000004e-01 -5.3928293143982464e-01 +7.3640570735889010e+00 -8.0353388471338300e-02 +1.3218146978762340e+01 -4.2966226757596969e+03 -1.2441211640958069e+05 +1.8020030079932775e+07 
-4.0000000000000002e-01 -5.3928324924180504e-01 +7.3640219183176123e+00 -7.7417133124017573e-02 +1.4063387752593858e+01 -4.3218032425382235e+03 -1.2923009410096945e+05 +1.8097556307411037e+07 
-5.0000000000000000e-01 -5.3928356896007767e-01 +7.3639889054583794e+00 -7.5163116589391774e-02 +1.4876720288856569e+01 -4.3354098370381180e+03 -1.3394217628614229e+05 +1.8127696254698649e+07 
-5.9999999999999998e-01 -5.3928389036636626e-01 +7.3639582451700365e+00 -7.3566405525843245e-02 +1.5652963761278986e+01 -4.3379266104336957e+03 -1.3851651100598357e+05 +1.8112188207293447e+07 
-6.9999999999999996e-01 -5.3928421323238851e-01 +7.3639301476084107e+00 -7.2602067737537010e-02 +1.6386937413568361e+01 -4.3298376870397151e+03 -1.4292124667259591e+05 +1.8052770309643064e+07 
-7.9999999999999993e-01 -5.3928453732989601e-01 +7.3639048229360666e+00 -7.2245167840397348e-02 +1.7073460310480481e+01 -4.3116272461671706e+03 -1.4712453071156636e+05 +1.7951180953292370e+07 
-8.9999999999999991e-01 -5.3928486243063611e-01 +7.3638824813166126e+00 -7.2470771456367669e-02 +1.7707351479576101e+01 -4.2837794437950224e+03 -1.5109451031161338e+05 +1.7809158406108189e+07 
