# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
-0.0000000000000000e+00 +8.1530000000000094e+00 +0.0000000000000000e+00 -0.0000000000000000e+00 -3.0567322000986458e-02 -5.9281140413347744e-01 +5.9341556984636463e-03
-1.0000000000000001e-01 +8.1529997163925092e+00 +0.0000000000000000e+00 -9.9999999999463796e-02 -3.0567079553715217e-02 -5.9281146209881408e-01 +5.9341422600012851e-03
-2.0000000000000001e-01 +8.1529988655711296e+00 +0.0000000000000000e+00 -1.9999999999571000e-01 -3.0566833711699742e-02 -5.9281152719009733e-01 +5.9341299613451942e-03
-2.9999999999999999e-01 +8.1529974475415692e+00 +0.0000000000000000e+00 -2.9999999998552201e-01 -3.0566585428986451e-02 -5.9281159956225704e-01 +5.9341185696947301e-03
-4.0000000000000002e-01 +8.1529954622965306e+00 +0.0000000000000000e+00 -3.9999999996568197e-01 -3.0566335659619623e-02 -5.9281167937031554e-01 +5.9341078522503858e-03
-5.0000000000000000e-01 +8.1529929098396696e+00 +0.0000000000000000e+00 -4.9999999993297300e-01 -3.0566085357629832e-02 -5.9281176676919667e-01 +5.9340975762115986e-03
-5.9999999999999998e-01 +8.1529897901673394e+00 +0.0000000000000000e+00 -5.9999999988417696e-01 -3.0565835477041257e-02 -5.9281186191387480e-01 +5.9340875087780642e-03
-6.9999999999999996e-01 +8.1529861032831796e+00 +0.0000000000000000e+00 -6.9999999981607697e-01 -3.0565586971864345e-02 -5.9281196495926103e-01 +5.9340774171483448e-03
-8.0000000000000004e-01 +8.1529818491871993e+00 +0.0000000000000000e+00 -7.9999999972545699e-01 -3.0565340796099821e-02 -5.9281207606028985e-01 +5.9340670685205628e-03
-9.0000000000000002e-01 +8.1529770278793894e+00 +0.0000000000000000e+00 -8.9999999960909804e-01 -3.0565097903736241e-02 -5.9281219537189622e-01 +5.9340562300919178e-03
-1.0000000000000000e+00 +8.1529716393597500e+00 +0.0000000000000000e+00 -9.9999999946378304e-01 -3.0564859248749163e-02 -5.9281232304901565e-01 +5.9340446690584739e-03
-1.1000000000000001e+00 +8.1529656836210105e+00 +0.0000000000000000e+00 -1.0999999992862901e+00 -3.0564625785103570e-02 -5.9281245924664494e-01 +5.9340321526155952e-03
-1.2000000000000000e+00 +8.1529591606740706e+00 +0.0000000000000000e+00 -1.1999999990734200e+00 -3.0564398466741548e-02 -5.9281260411963932e-01 +5.9340184479556033e-03
-1.3000000000000000e+00 +8.1529520705153100e+00 +0.0000000000000000e+00 -1.2999999988219300e+00 -3.0564178247596194e-02 -5.9281275782297860e-01 +5.9340033222703148e-03
-1.3999999999999999e+00 +8.1529444131410909e+00 +0.0000000000000000e+00 -1.3999999985286200e+00 -3.0563966081584262e-02 -5.9281292051165302e-01 +5.9339865427496504e-03
-1.5000000000000000e+00 +8.1529361885550298e+00 +0.0000000000000000e+00 -1.4999999981902701e+00 -3.0563762922601979e-02 -5.9281309234060520e-01 +5.9339678765808106e-03
-1.6000000000000001e+00 +8.1529273967571498e+00 +0.0000000000000000e+00 -1.5999999978036501e+00 -3.0563569724529154e-02 -5.9281327346482060e-01 +5.9339470909489968e-03
-1.7000000000000000e+00 +8.1529180377474404e+00 +0.0000000000000000e+00 -1.6999999973655600e+00 -3.0563387441226705e-02 -5.9281346403930180e-01 +5.9339239530369200e-03
-1.8000000000000000e+00 +8.1529081115222706e+00 +0.0000000000000000e+00 -1.7999999968727800e+00 -3.0563217026537460e-02 -5.9281366421909898e-01 +5.9338982300248984e-03
-1.8999999999999999e+00 +8.1528976180852606e+00 +0.0000000000000000e+00 -1.8999999963220899e+00 -3.0563059434280365e-02 -5.9281387415922326e-01 +5.9338696890897614e-03
-2.0000000000000000e+00 +8.1528865574327902e+00 +0.0000000000000000e+00 -1.9999999957102601e+00 -3.0562915618256248e-02 -5.9281409401476859e-01 +5.9338380974058589e-03
-2.1000000000000001e+00 +8.1528749295721408e+00 +0.0000000000000000e+00 -2.0999999950340902e+00 -3.0562786274362135e-02 -5.9281432386965305e-01 +5.9338033305259595e-03
-2.2000000000000002e+00 +8.1528627344960096e+00 +0.0000000000000000e+00 -2.1999999942903599e+00 -3.0562671066978984e-02 -5.9281456352349093e-01 +5.9337656975325705e-03
-2.2999999999999998e+00 +8.1528499722080596e+00 +0.0000000000000000e+00 -2.2999999934758399e+00 -3.0562569402601533e-02 -5.9281481270470648e-01 +5.9337256158905199e-03
