# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +8.1530000000000094e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -2.9710462340030556e-02 -5.6526235875391284e-01 +5.7162960819318962e-03
1.0000000000000001e-01 +8.1529997163925092e+00 +0.0000000000000000e+00 +9.9999999999463796e-02 -2.9710372156278121e-02 -5.6526270030568670e-01 +5.7163159375452017e-03
2.0000000000000001e-01 +8.1529988655711296e+00 +0.0000000000000000e+00 +1.9999999999571000e-01 -2.9710295746034364e-02 -5.6526304664124383e-01 +5.7163334567317961e-03
2.9999999999999999e-01 +8.1529974475415692e+00 +0.0000000000000000e+00 +2.9999999998552201e-01 -2.9710232069173829e-02 -5.6526339846542284e-01 +5.7163485228615037e-03
4.0000000000000002e-01 +8.1529954622965306e+00 +0.0000000000000000e+00 +3.9999999996568197e-01 -2.9710180085572930e-02 -5.6526375648316574e-01 +5.7163610193044431e-03
5.0000000000000000e-01 +8.1529929098396696e+00 +0.0000000000000000e+00 +4.9999999993297300e-01 -2.9710138755099511e-02 -5.6526412139933113e-01 +5.7163708294291913e-03
5.9999999999999998e-01 +8.1529897901673394e+00 +0.0000000000000000e+00 +5.9999999988417696e-01 -2.9710107037619504e-02 -5.6526449391883460e-01 +5.7163778366043933e-03
6.9999999999999996e-01 +8.1529861032831796e+00 +0.0000000000000000e+00 +6.9999999981607697e-01 -2.9710083892990378e-02 -5.6526487474653775e-01 +5.7163819241977058e-03
8.0000000000000004e-01 +8.1529818491871993e+00 +0.0000000000000000e+00 +7.9999999972545699e-01 -2.9710068281064744e-02 -5.6526526458732862e-01 +5.7163829755767981e-03
9.0000000000000002e-01 +8.1529770278793894e+00 +0.0000000000000000e+00 +8.9999999960909804e-01 -2.9710059161688233e-02 -5.6526566414609647e-01 +5.7163808741091757e-03
1.0000000000000000e+00 +8.1529716393597500e+00 +0.0000000000000000e+00 +9.9999999946378304e-01 -2.9710055494698767e-02 -5.6526607412772834e-01 +5.7163755031623227e-03
1.1000000000000001e+00 +8.1529656836210105e+00 +0.0000000000000000e+00 +1.0999999992862901e+00 -2.9710056239928805e-02 -5.6526649523716810e-01 +5.7163667461043966e-03
1.2000000000000000e+00 +8.1529591606740706e+00 +0.0000000000000000e+00 +1.1999999990734200e+00 -2.9710060357194239e-02 -5.6526692817921609e-01 +5.7163544863022909e-03
1.3000000000000000e+00 +8.1529520705153100e+00 +0.0000000000000000e+00 +1.2999999988219300e+00 -2.9710066806307032e-02 -5.6526737365878310e-01 +5.7163386071244059e-03
1.3999999999999999e+00 +8.1529444131410909e+00 +0.0000000000000000e+00 +1.3999999985286200e+00 -2.9710074547068529e-02 -5.6526783238077760e-01 +5.7163189919396109e-03
1.5000000000000000e+00 +8.1529361885550298e+00 +0.0000000000000000e+00 +1.4999999981902701e+00 -2.9710082539265860e-02 -5.6526830505004855e-01 +5.7162955241167601e-03
