# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -5.6508758460753361e-01 +7.7361111605437083e+00 -9.4259529640664608e-01 -9.2400272258286932e+01 +8.3511173794115384e+03 +3.3240392605598224e+05 -4.3920148872822590e+07 
+1.0000000000000001e-01 -5.6508714524281511e-01 +7.7360873219835815e+00 -9.3666073951205586e-01 -9.1710430844685803e+01 +8.2181786237457945e+03 +3.2817925028801622e+05 -4.3300129681448333e+07 
+2.0000000000000001e-01 -5.6508670456194821e-01 +7.7360630805566686e+00 -9.3130666146495278e-01 -9.0979176633550736e+01 +8.0962787675395830e+03 +3.2362691683522199e+05 -4.2726574938176401e+07 
+2.9999999999999999e-01 -5.6508626317063360e-01 +7.7360386403284682e+00 -9.2649809387422266e-01 -9.0214012191860064e+01 +7.9847191543490117e+03 +3.1879474595910561e+05 -4.2196275468172044e+07 
+4.0000000000000002e-01 -5.6508582167464605e-01 +7.7360142053650813e+00 -9.2220007174537744e-01 -8.9422440124698355e+01 +7.8828011911973954e+03 +3.1373055815191969e+05 -4.1706022386838600e+07 
+5.0000000000000000e-01 -5.6508538067967551e-01 +7.7359899797379503e+00 -9.1837763111246018e-01 -8.8611963212453901e+01 +7.7898263116120906e+03 +3.0848217493332550e+05 -4.1252606949686840e+07 
+5.9999999999999998e-01 -5.6508494079146876e-01 +7.7359661675178799e+00 -9.1499580757742938e-01 -8.7790084237049570e+01 +7.7050959384095422e+03 +3.0309741783706605e+05 -4.0832820350570723e+07 
+6.9999999999999996e-01 -5.6508450261573351e-01 +7.7359429727817384e+00 -9.1201963586616808e-01 -8.6964306173454034e+01 +7.6279114866210475e+03 +2.9762410951661289e+05 -4.0443453766230255e+07 
+8.0000000000000004e-01 -5.6508406675819545e-01 +7.7359205996047278e+00 -9.0941415130581260e-01 -8.6142131957238618e+01 +7.5575743802422458e+03 +2.9211007237679214e+05 -4.0081298409956262e+07 
+9.0000000000000002e-01 -5.6508363382458571e-01 +7.7358992520635139e+00 -9.0714438952490206e-01 -8.5331064576635072e+01 +7.4933860549640131e+03 +2.8660312910284108e+05 -3.9743145565172002e+07 
