# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +8.1530000000000094e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -2.9278768141342518e-02 -5.6459188891706902e-01 +5.7099378311723280e-03
1.0000000000000001e-01 +8.1529997159377707e+00 +0.0000000000000000e+00 +1.0008006405070299e-01 -2.9278844256845800e-02 -5.6459191707329759e-01 +5.7099604473540688e-03
2.0000000000000001e-01 +8.1529988637557800e+00 +0.0000000000000000e+00 +2.0016012809818201e-01 -2.9278919314552895e-02 -5.6459195019508779e-01 +5.7099842921157001e-03
2.9999999999999999e-01 +8.1529974434524792e+00 +0.0000000000000000e+00 +3.0024019213920999e-01 -2.9278993397742044e-02 -5.6459198734194449e-01 +5.7100093344334612e-03
4.0000000000000002e-01 +8.1529954550242092e+00 +0.0000000000000000e+00 +4.0032025617056399e-01 -2.9279066589693373e-02 -5.6459202757339333e-01 +5.7100355432825470e-03
5.0000000000000000e-01 +8.1529928984782600e+00 +0.0000000000000000e+00 +5.0040032018901703e-01 -2.9279138973682645e-02 -5.6459206994887767e-01 +5.7100628876362823e-03
5.9999999999999998e-01 +8.1529897738146193e+00 +0.0000000000000000e+00 +6.0048038419134497e-01 -2.9279210632988769e-02 -5.6459211352789851e-01 +5.7100913364677881e-03
6.9999999999999996e-01 +8.1529860810223909e+00 +0.0000000000000000e+00 +7.0056044817432195e-01 -2.9279281650894794e-02 -5.6459215737003854e-01 +5.7101208587504839e-03
8.0000000000000004e-01 +8.1529818201124709e+00 +0.0000000000000000e+00 +8.0064051213472498e-01 -2.9279352110673160e-02 -5.6459220053470849e-01 +5.7101514234557098e-03
9.0000000000000002e-01 +8.1529769910812302e+00 +0.0000000000000000e+00 +9.0072057606932698e-01 -2.9279422095600992e-02 -5.6459224208142555e-01 +5.7101829995558160e-03
1.0000000000000000e+00 +8.1529715939250291e+00 +0.0000000000000000e+00 +1.0008006399749001e+00 -2.9279491688953264e-02 -5.6459228106969850e-01 +5.7102155560232407e-03
1.1000000000000001e+00 +8.1529656286511507e+00 +0.0000000000000000e+00 +1.1008807038482300e+00 -2.9279560973997542e-02 -5.6459231655894193e-01 +5.7102490618298465e-03
1.2000000000000000e+00 +8.1529590952522994e+00 +0.0000000000000000e+00 +1.2009607676860801e+00 -2.9279630034004512e-02 -5.6459234760867039e-01 +5.7102834859491646e-03
1.3000000000000000e+00 +8.1529519937357708e+00 +0.0000000000000000e+00 +1.3010408314852300e+00 -2.9279698952234801e-02 -5.6459237327827083e-01 +5.7103187973542935e-03
1.3999999999999999e+00 +8.1529443240979198e+00 +0.0000000000000000e+00 +1.4011208952424601e+00 -2.9279767811949547e-02 -5.6459239262719896e-01 +5.7103549650201358e-03
