# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
-0.0000000000000000e+00 +8.1530000000000094e+00 +0.0000000000000000e+00 -0.0000000000000000e+00 -3.0685041014742395e-02 -5.6488536037906600e-01 +5.5937050447315440e-03
-1.0000000000000001e-01 +8.1529997159377707e+00 +0.0000000000000000e+00 -1.0008006405070299e-01 -3.0685023751521850e-02 -5.6488517067383681e-01 +5.5936208166818937e-03
-2.0000000000000001e-01 +8.1529988637557800e+00 +0.0000000000000000e+00 -2.0016012809818201e-01 -3.0684999655542607e-02 -5.6488497886851730e-01 +5.5935387389996752e-03
-2.9999999999999999e-01 +8.1529974434524792e+00 +0.0000000000000000e+00 -3.0024019213920999e-01 -3.0684969687231514e-02 -5.6488478648209961e-01 +5.5934586788365373e-03
-4.0000000000000002e-01 +8.1529954550242092e+00 +0.0000000000000000e+00 -4.0032025617056399e-01 -3.0684934807019330e-02 -5.6488459503360944e-01 +5.5933805033461749e-03
-5.0000000000000000e-01 +8.1529928984782600e+00 +0.0000000000000000e+00 -5.0040032018901703e-01 -3.0684895975335420e-02 -5.6488440604200141e-01 +5.5933040796831181e-03
-5.9999999999999998e-01 +8.1529897738146193e+00 +0.0000000000000000e+00 -6.0048038419134497e-01 -3.0684854152615123e-02 -5.6488422102630043e-01 +5.5932292750040004e-03
-6.9999999999999996e-01 +8.1529860810223909e+00 +0.0000000000000000e+00 -7.0056044817432195e-01 -3.0684810299301146e-02 -5.6488404150562543e-01 +5.5931559564676827e-03
-8.0000000000000004e-01 +8.1529818201124709e+00 +0.0000000000000000e+00 -8.0064051213472498e-01 -3.0684765375830359e-02 -5.6488386899893495e-01 +5.5930839912324542e-03
-9.0000000000000002e-01 +8.1529769910812302e+00 +0.0000000000000000e+00 -9.0072057606932698e-01 -3.0684720342648367e-02 -5.6488370502530583e-01 +5.5930132464587709e-03
-1.0000000000000000e+00 +8.1529715939250291e+00 +0.0000000000000000e+00 -1.0008006399749001e+00 -3.0684676160203744e-02 -5.6488355110381916e-01 +5.5929435893079214e-03
-1.1000000000000001e+00 +8.1529656286511507e+00 +0.0000000000000000e+00 -1.1008807038482300e+00 -3.0684633788943483e-02 -5.6488340875347276e-01 +5.5928748869409585e-03
-1.2000000000000000e+00 +8.1529590952522994e+00 +0.0000000000000000e+00 -1.2009607676860801e+00 -3.0684594189323271e-02 -5.6488327949337769e-01 +5.5928070065205887e-03
-1.3000000000000000e+00 +8.1529519937357708e+00 +0.0000000000000000e+00 -1.3010408314852300e+00 -3.0684558321795740e-02 -5.6488316484252776e-01 +5.5927398152086499e-03
-1.3999999999999999e+00 +8.1529443240979198e+00 +0.0000000000000000e+00 -1.4011208952424601e+00 -3.0684527146820670e-02 -5.6488306631999752e-01 +5.5926731801679676e-03
-1.5000000000000000e+00 +8.1529360863350995e+00 +0.0000000000000000e+00 -1.5012009589545301e+00 -3.0684501624860607e-02 -5.6488298544485460e-01 +5.5926069685613318e-03
-1.6000000000000001e+00 +8.1529272804509691e+00 +0.0000000000000000e+00 -1.6012810226182299e+00 -3.0684482716377873e-02 -5.6488292373610072e-01 +5.5925410475507181e-03
-1.7000000000000000e+00 +8.1529179064491508e+00 +0.0000000000000000e+00 -1.7013610862303301e+00 -3.0684471381837455e-02 -5.6488288271272591e-01 +5.5924752842977038e-03
-1.8000000000000000e+00 +8.1529079643223703e+00 +0.0000000000000000e+00 -1.8014411497875999e+00 -3.0684468581711397e-02 -5.6488286389379105e-01 +5.5924095459641537e-03
-1.8999999999999999e+00 +8.1528974540779000e+00 +0.0000000000000000e+00 -1.9015212132868200e+00 -3.0684475276468483e-02 -5.6488286879822891e-01 +5.5923436997100300e-03
-2.0000000000000000e+00 +8.1528863757084800e+00 +0.0000000000000000e+00 -2.0016012767247702e+00 -3.0684492426584688e-02 -5.6488289894506394e-01 +5.5922776126956864e-03
-2.1000000000000001e+00 +8.1528747292177304e+00 +0.0000000000000000e+00 -2.1016813400982199e+00 -3.0684520659665936e-02 -5.6488295525219345e-01 +5.5922111941069082e-03
-2.2000000000000002e+00 +8.1528625146056601e+00 +0.0000000000000000e+00 -2.2017614034039301e+00 -3.0684559334229117e-02 -5.6488303634607395e-01 +5.5921445133622879e-03
-2.2999999999999998e+00 +8.1528497318759001e+00 +0.0000000000000000e+00 -2.3018414666387002e+00 -3.0684607506383365e-02 -5.6488314030712017e-01 +5.5920776780607508e-03
-2.3999999999999999e+00 +8.1528363810211903e+00 +0.0000000000000000e+00 -2.4019215297993002e+00 -3.0684664232235391e-02 -5.6488326521583088e-01 +5.5920107958021366e-03
-2.5000000000000000e+00 +8.1528224620451493e+00 +0.0000000000000000e+00 -2.5020015928824901e+00 -3.0684728567879783e-02 -5.6488340915262192e-01 +5.5919439741854600e-03
-2.6000000000000001e+00 +8.1528079749477893e+00 +0.0000000000000000e+00 -2.6020816558850601e+00 -3.0684799569403901e-02 -5.6488357019793844e-01 +5.5918773208100576e-03
-2.7000000000000002e+00 +8.1527929197291105e+00 +0.0000000000000000e+00 -2.7021617188037701e+00 -3.0684876292885438e-02 -5.6488374643222750e-01 +5.5918109432752808e-03
-2.7999999999999998e+00 +8.1527772963891003e+00 +0.0000000000000000e+00 -2.8022417816354102e+00 -3.0684957794391510e-02 -5.6488393593593822e-01 +5.5917449491805112e-03
-2.8999999999999999e+00 +8.1527611049277802e+00 +0.0000000000000000e+00 -2.9023218443767500e+00 -3.0685043129977656e-02 -5.6488413678952276e-01 +5.5916794461251208e-03
-3.0000000000000000e+00 +8.1527443453451305e+00 +0.0000000000000000e+00 -3.0024019070245598e+00 -3.0685131355686915e-02 -5.6488434707343682e-01 +5.5916145417084992e-03
-3.1000000000000001e+00 +8.1527270176411495e+00 +0.0000000000000000e+00 -3.1024819695756198e+00 -3.0685221527548847e-02 -5.6488456486813998e-01 +5.5915503435300141e-03
-3.2000000000000002e+00 +8.1527091218158603e+00 +0.0000000000000000e+00 -3.2025620320267101e+00 -3.0685312701578590e-02 -5.6488478825409605e-01 +5.5914869591890230e-03
-3.2999999999999998e+00 +8.1526906578692397e+00 +0.0000000000000000e+00 -3.3026420943745900e+00 -3.0685403933775911e-02 -5.6488501531177371e-01 +5.5914244962848563e-03
-3.3999999999999999e+00 +8.1526716258013003e+00 +0.0000000000000000e+00 -3.4027221566160502e+00 -3.0685494280124268e-02 -5.6488524412164787e-01 +5.5913630624168133e-03
-3.5000000000000000e+00 +8.1526520256120403e+00 +0.0000000000000000e+00 -3.5028022187478500e+00 -3.0685582796589818e-02 -5.6488547276419832e-01 +5.5913027651841533e-03
-3.6000000000000001e+00 +8.1526318572978198e+00 +0.0000000000000000e+00 -3.6028822807667802e+00 -3.0685668539121944e-02 -5.6488569931994059e-01 +5.5912437121863759e-03
-3.7000000000000002e+00 +8.1526111208659096e+00 +0.0000000000000000e+00 -3.7029623426696099e+00 -3.0685750563646457e-02 -5.6488592186931241e-01 +5.5911860110220563e-03
-3.7999999999999998e+00 +8.1525898163126804e+00 +0.0000000000000000e+00 -3.8030424044531101e+00 -3.0685827926073411e-02 -5.6488613849284297e-01 +5.5911297692905716e-03
-3.8999999999999999e+00 +8.1525679436344909e+00 +0.0000000000000000e+00 -3.9031224661140600e+00 -3.0685899682291781e-02 -5.6488634727107001e-01 +5.5910750945912238e-03
-4.0000000000000000e+00 +8.1525455028386205e+00 +0.0000000000000000e+00 -4.0032025276492398e+00 -3.0685964888170877e-02 -5.6488654628447255e-01 +5.5910220945218289e-03
-4.0999999999999996e+00 +8.1525224939177896e+00 +0.0000000000000000e+00 -4.1032825890554099e+00 -3.0686022827468205e-02 -5.6488673417536073e-01 +5.5909708586175128e-03
-4.2000000000000002e+00 +8.1524989168792708e+00 +0.0000000000000000e+00 -4.2033626503293604e+00 -3.0686073612194345e-02 -5.6488691162733984e-01 +5.5909214107633101e-03
-4.2999999999999998e+00 +8.1524747717157897e+00 +0.0000000000000000e+00 -4.3034427114678504e+00 -3.0686117542484303e-02 -5.6488707978772901e-01 +5.5908737599352004e-03
-4.4000000000000004e+00 +8.1524500584346207e+00 +0.0000000000000000e+00 -4.4035227724676700e+00 -3.0686154918488320e-02 -5.6488723980372746e-01 +5.5908279151066134e-03
-4.5000000000000000e+00 +8.1524247770285001e+00 +0.0000000000000000e+00 -4.5036028333255800e+00 -3.0686186040385269e-02 -5.6488739282263889e-01 +5.5907838852506647e-03
-4.5999999999999996e+00 +8.1523989275046898e+00 +0.0000000000000000e+00 -4.6036828940383696e+00 -3.0686211208372526e-02 -5.6488753999164409e-01 +5.5907416793377499e-03
-4.7000000000000002e+00 +8.1523725098559208e+00 +0.0000000000000000e+00 -4.7037629546028104e+00 -3.0686230722679345e-02 -5.6488768245802790e-01 +5.5907013063377911e-03
-4.7999999999999998e+00 +8.1523455240894709e+00 +0.0000000000000000e+00 -4.8038430150156701e+00 -3.0686244883556875e-02 -5.6488782136895144e-01 +5.5906627752178419e-03
-4.9000000000000004e+00 +8.1523179701980606e+00 +0.0000000000000000e+00 -4.9039230752737302e+00 -3.0686253991291431e-02 -5.6488795787167800e-01 +5.5906260949443202e-03
-5.0000000000000000e+00 +8.1522898481889605e+00 +0.0000000000000000e+00 -5.0040031353737602e+00 -3.0686258346194449e-02 -5.6488809311334731e-01 +5.5905912744806108e-03
-5.0999999999999996e+00 +8.1522611580549000e+00 +0.0000000000000000e+00 -5.1040831953125396e+00 -3.0686258248615900e-02 -5.6488822824119933e-01 +5.5905583227893090e-03
-5.2000000000000002e+00 +8.1522318997995207e+00 +0.0000000000000000e+00 -5.2041632550868497e+00 -3.0686253998935632e-02 -5.6488836440237777e-01 +5.5905272488301115e-03
-5.2999999999999998e+00 +8.1522020734228100e+00 +0.0000000000000000e+00 -5.3042433146934496e+00 -3.0686245897570939e-02 -5.6488850274404201e-01 +5.5904980615608972e-03
-5.4000000000000004e+00 +8.1521716789247893e+00 +0.0000000000000000e+00 -5.4043233741291203e+00 -3.0686234244976667e-02 -5.6488864441333664e-01 +5.5904707699373475e-03
-5.5000000000000000e+00 +8.1521407163090807e+00 +0.0000000000000000e+00 -5.5044034333906504e+00 -3.0686219341645459e-02 -5.6488879055736552e-01 +5.5904453829125943e-03
-5.5999999999999996e+00 +8.1521091855684098e+00 +0.0000000000000000e+00 -5.6044834924747899e+00 -3.0686201488115294e-02 -5.6488894232330222e-01 +5.5904219094382963e-03
-5.7000000000000002e+00 +8.1520770867064094e+00 +0.0000000000000000e+00 -5.7045635513783299e+00 -3.0686180984962251e-02 -5.6488910085822086e-01 +5.5904003584628069e-03
-5.7999999999999998e+00 +8.1520444197231008e+00 +0.0000000000000000e+00 -5.8046436100980499e+00 -3.0686158132808089e-02 -5.6488926730920819e-01 +5.5903807389322668e-03
-5.9000000000000004e+00 +8.1520111846184609e+00 +0.0000000000000000e+00 -5.9047236686307096e+00 -3.0686133232320414e-02 -5.6488944282333520e-01 +5.5903630597902345e-03
-5.9999999999999902e+00 +8.1519773813925003e+00 +0.0000000000000000e+00 -6.0048037269731003e+00 -3.0686106584224188e-02 -5.6488962854762537e-01 +5.5903473299769605e-03
-6.0999999999999899e+00 +8.1519430100452208e+00 +0.0000000000000000e+00 -6.1048837851219799e+00 -3.0686078591673719e-02 -5.6488982530779230e-01 +5.5903335516770958e-03
-6.1999999999999904e+00 +8.1519080705766100e+00 +0.0000000000000000e+00 -6.2049638430741396e+00 -3.0686050012568272e-02 -5.6489003281633021e-01 +5.5903217036772056e-03
-6.2999999999999901e+00 +8.1518725629866804e+00 +0.0000000000000000e+00 -6.3050439008263499e+00 -3.0686021681548180e-02 -5.6489025054480535e-01 +5.5903117597021924e-03
-6.3999999999999897e+00 +8.1518364872754301e+00 +0.0000000000000000e+00 -6.4051239583753699e+00 -3.0685994433212762e-02 -5.6489047796479408e-01 +5.5903036934797272e-03
