# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
-0.0000000000000000e+00 -5.6473748950292724e-01 +7.7461767913185664e+00 -7.7368639262793759e-01 -3.1793888663379445e+01 +1.0311084852550077e+04 -1.0184982714497685e+05 -4.7902782940671422e+07 
-1.0000000000000001e-01 -5.6473782715242993e-01 +7.7462049132541164e+00 -7.6638060771199712e-01 -3.2127571131204569e+01 +1.0239586775774613e+04 -1.0119748141908910e+05 -4.7688029610114880e+07 
-2.0000000000000001e-01 -5.6473816742764205e-01 +7.7462320610699154e+00 -7.5890801978870104e-01 -3.2454904211912798e+01 +1.0165581613547605e+04 -1.0054783074804056e+05 -4.7468438117871635e+07 
-2.9999999999999999e-01 -5.6473850966104000e-01 +7.7462583227030981e+00 -7.5133550347695466e-01 -3.2777011937945957e+01 +1.0089945649512254e+04 -9.9894488498822437e+04 -4.7246843963017553e+07 
-4.0000000000000002e-01 -5.6473885318515993e-01 +7.7462837860952725e+00 -7.4372992750294364e-01 -3.3095018462449495e+01 +1.0013555053973139e+04 -9.9231067310085971e+04 -4.7026082103535376e+07 
-5.0000000000000000e-01 -5.6473919733243849e-01 +7.7463085391822242e+00 -7.3615816202921125e-01 -3.3410047757765419e+01 +9.9372860194695841e+03 -9.8551180854256789e+04 -4.6808987589278370e+07 
-5.9999999999999998e-01 -5.6473954143532923e-01 +7.7463326699058053e+00 -7.2868708202635257e-01 -3.3723223951178056e+01 +9.8620148307086201e+03 -9.7848441931180510e+04 -4.6598395913141802e+07 
-6.9999999999999996e-01 -5.6473988482642612e-01 +7.7463562662041703e+00 -7.2138355521266118e-01 -3.4035671039370477e+01 +9.7886176320243048e+03 -9.7116464148182786e+04 -4.6397141894596003e+07 
-8.0000000000000004e-01 -5.6474022683810443e-01 +7.7463794160225952e+00 -7.1431445495398116e-01 -3.4348513210379458e+01 +9.7179706711036451e+03 -9.6348860031732955e+04 -4.6208060835733414e+07 
-9.0000000000000002e-01 -5.6474056680289797e-01 +7.7464022073053656e+00 -7.0754664953293323e-01 -3.4662874606262761e+01 +9.6509501018588944e+03 -9.5539242428143320e+04 -4.6033987602164626e+07 
-1.0000000000000000e+00 -5.6474090405332200e-01 +7.7464247280039480e+00 -7.0114700856749024e-01 -3.4979879532124045e+01 +9.5884320972977766e+03 -9.4681223383792472e+04 -4.5877757135649227e+07 
-1.1000000000000001e+00 -5.6474123792180109e-01 +7.7464470660710063e+00 -6.9518240285717614e-01 -3.5300652323464149e+01 +9.5312928542069967e+03 -9.3768414811421462e+04 -4.5742204497217081e+07 
-1.2000000000000000e+00 -5.6474156774089657e-01 +7.7464693094659367e+00 -6.8971970008332906e-01 -3.5626317462588531e+01 +9.4804085083644150e+03 -9.2794427945186311e+04 -4.5630164455287270e+07 
-1.3000000000000000e+00 -5.6474189284303900e-01 +7.7464915461573218e+00 -6.8482577000864608e-01 -3.5957999685806271e+01 +9.4366552327533809e+03 -9.1752872640251720e+04 -4.5544471952291206e+07 
-1.3999999999999999e+00 -5.6474221256076762e-01 +7.7465138641148501e+00 -6.8056747929100403e-01 -3.6296823708853680e+01 +9.4009091401373644e+03 -9.0637359083221862e+04 -4.5487961644556783e+07 
-1.5000000000000000e+00 -5.6474252622661658e-01 +7.7465363513167329e+00 -6.7701169598252353e-01 -3.6643914472785731e+01 +9.3740463718072788e+03 -8.9441496291294592e+04 -4.5463468331484325e+07 
-1.6000000000000001e+00 -5.6474283317305995e-01 +7.7465590957577719e+00 -6.7422528792072201e-01 -3.7000397360392384e+01 +9.3569430600294017e+03 -8.8158890928555047e+04 -4.5473826761241645e+07 
-1.7000000000000000e+00 -5.6474313273259913e-01 +7.7465821854306700e+00 -6.7227512005132062e-01 -3.7367397655410251e+01 +9.3504752843859023e+03 -8.6783150438241239e+04 -4.5521871441572726e+07 
-1.8000000000000000e+00 -5.6474342423781076e-01 +7.7466057083454976e+00 -6.7122805871903479e-01 -3.7746041099685158e+01 +9.3555191482851333e+03 -8.5307879856652988e+04 -4.5610436988317944e+07 
-1.8999999999999999e+00 -5.6474370702117560e-01 +7.7466297525183849e+00 -6.7115096819640274e-01 -3.8137453569836495e+01 +9.3729507165495270e+03 -8.3726683674378830e+04 -4.5742357842711590e+07 
-2.0000000000000000e+00 -5.6474398041527651e-01 +7.7466544059812019e+00 -6.7211071440728387e-01 -3.8542761352873775e+01 +9.4036460842832057e+03 -8.2033164294879534e+04 -4.5920468591449805e+07 
-2.1000000000000001e+00 -5.6474424396843348e-01 +7.7466797030826990e+00 -6.7414519016135777e-01 -3.8962353092148042e+01 +9.4480692603165644e+03 -8.0224463271859378e+04 -4.6146107554337770e+07 
-2.2000000000000002e+00 -5.6474449805053462e-01 +7.7467054711067451e+00 -6.7718130414195221e-01 -3.9393867547246437e+01 +9.5051072650311908e+03 -7.8310519725746723e+04 -4.6414881358639583e+07 
-2.2999999999999998e+00 -5.6474474322700441e-01 +7.7467314874387156e+00 -6.8111937820384949e-01 -3.9834303693240884e+01 +9.5732697093391271e+03 -7.6304154003478747e+04 -4.6721023582658499e+07 
-2.3999999999999999e+00 -5.6474498006331764e-01 +7.7467575294623119e+00 -6.8585973769443787e-01 -4.0280660447817020e+01 +9.6510662651427720e+03 -7.4218186772738612e+04 -4.7058768084717833e+07 
-2.5000000000000000e+00 -5.6474520912484638e-01 +7.7467833745546040e+00 -6.9130270882202249e-01 -4.0729936521306840e+01 +9.7370066141076768e+03 -7.2065439890826805e+04 -4.7422348760037027e+07 
-2.6000000000000001e+00 -5.6474543097701269e-01 +7.7468088000888509e+00 -6.9734861455822639e-01 -4.1179130508211891e+01 +9.8296003724296643e+03 -6.9858735829057070e+04 -4.7805999185490876e+07 
-2.7000000000000002e+00 -5.6474564618517353e-01 +7.7468335834382662e+00 -7.0389778433951311e-01 -4.1625240980483085e+01 +9.9273572704574799e+03 -6.7610897179187814e+04 -4.8203953465601765e+07 
-2.7999999999999998e+00 -5.6474585531472077e-01 +7.7468575019664332e+00 -7.1085054183158036e-01 -4.2065266233801147e+01 +1.0028786920854549e+04 -6.5334748042342260e+04 -4.8610445129760958e+07 
-2.8999999999999999e+00 -5.6474605893100138e-01 +7.7468803330292602e+00 -7.1810721536998290e-01 -4.2496204329931203e+01 +1.0132399021010575e+04 -6.3043113799492618e+04 -4.9019708106467031e+07 
-3.0000000000000000e+00 -5.6474625759934438e-01 +7.7469018539787733e+00 -7.2556813335450743e-01 -4.2915053213146940e+01 +1.0236703257004945e+04 -6.0748820424983605e+04 -4.9425976244451039e+07 
-3.1000000000000001e+00 -5.6474645188507078e-01 +7.7469218421560893e+00 -7.3313362426524142e-01 -4.3318810511398233e+01 +1.0340209312118954e+04 -5.8464695602714608e+04 -4.9823483374449961e+07 
-3.2000000000000002e+00 -5.6474664235346006e-01 +7.7469400748968349e+00 -7.4070401917391582e-01 -4.3704473692139636e+01 +1.0441426905560171e+04 -5.6203567823815407e+04 -5.0206463470648192e+07 
-3.2999999999999998e+00 -5.6474682956979305e-01 +7.7469563295212147e+00 -7.4817964831242101e-01 -4.4069039776049287e+01 +1.0538865737160868e+04 -5.3978268022451084e+04 -5.0569150413657218e+07 
-3.3999999999999999e+00 -5.6474701409931272e-01 +7.7469703833455501e+00 -7.5546084381801659e-01 -4.4409505676160563e+01 +1.0631035528278766e+04 -5.1801627591711425e+04 -5.0905778154796466e+07 
-3.5000000000000000e+00 -5.6474719650723804e-01 +7.7469820136669814e+00 -7.6244793904305153e-01 -4.4722867749536050e+01 +1.0716446013906736e+04 -4.9686480982245193e+04 -5.1210580693568945e+07 
-3.6000000000000001e+00 -5.6474737735877134e-01 +7.7469909977732856e+00 -7.6904127082260232e-01 -4.5006122093800080e+01 +1.0793606985835897e+04 -4.7645663943852596e+04 -5.1477792284337424e+07 
-3.7000000000000002e+00 -5.6474755721904613e-01 +7.7469971129395319e+00 -7.7514117240335090e-01 -4.5256264439080496e+01 +1.0861028158516963e+04 -4.5692014163305845e+04 -5.1701646796068251e+07 
-3.7999999999999998e+00 -5.6474773665320699e-01 +7.7470001364259922e+00 -7.8064798282961201e-01 -4.5470290110333323e+01 +1.0917219339793666e+04 -4.3838371414615271e+04 -5.1876378507562637e+07 
-3.8999999999999999e+00 -5.6474791622639109e-01 +7.7469998454753197e+00 -7.8546204043910206e-01 -4.5645193915496144e+01 +1.0960690316192877e+04 -4.2097578279167741e+04 -5.1996221584525093e+07 
-4.0000000000000000e+00 -5.6474809650359747e-01 +7.7469960173174330e+00 -7.8948368797257240e-01 -4.5777970313851519e+01 +1.0989950945488787e+04 -4.0482478993057463e+04 -5.2055410498181038e+07 
-4.0999999999999996e+00 -5.6474827811918982e-01 +7.7469885314166964e+00 -7.9263260593728269e-01 -4.5867076202324974e+01 +1.1003855002655859e+04 -3.9000003410661106e+04 -5.2049607565385394e+07 
-4.2000000000000002e+00 -5.6474846196143202e-01 +7.7469776499639522e+00 -7.9490098764973416e-01 -4.5916372935855520e+01 +1.1002535941555339e+04 -3.7635648829117883e+04 -5.1979777271339580e+07 
-4.2999999999999998e+00 -5.6474864897694277e-01 +7.7469637246492766e+00 -7.9629801989423332e-01 -4.5930968516321308e+01 +1.0986424760914197e+04 -3.6370066511887191e+04 -5.1848113956710592e+07 
-4.4000000000000004e+00 -5.6474884011223181e-01 +7.7469471071604392e+00 -7.9683289008357050e-01 -4.5915970956522351e+01 +1.0955952479831694e+04 -3.5183907490348385e+04 -5.1656812078330666e+07 
-4.5000000000000000e+00 -5.6474903631396778e-01 +7.7469281491777755e+00 -7.9651478182952551e-01 -4.5876488131872279e+01 +1.0911550056932501e+04 -3.4057823436903273e+04 -5.1408065830301113e+07 
-4.5999999999999996e+00 -5.6474923852871994e-01 +7.7469072023800134e+00 -7.9535287923878151e-01 -4.5817627965192251e+01 +1.0853648475771653e+04 -3.2972465546598018e+04 -5.1104069561650701e+07 
-4.7000000000000002e+00 -5.6474944770321089e-01 +7.7468846184373747e+00 -7.9335636314523650e-01 -4.5744498210520064e+01 +1.0782678669301029e+04 -3.1908485849764354e+04 -5.0747017404719763e+07 
-4.7999999999999998e+00 -5.6474966478408750e-01 +7.7468607490167631e+00 -7.9053441264786628e-01 -4.5662206629816531e+01 +1.0699071556711799e+04 -3.0846536119420201e+04 -5.0339103470947459e+07 
-4.9000000000000004e+00 -5.6474989071813297e-01 +7.7468359457818918e+00 -7.8689620549454098e-01 -4.5575860993252114e+01 +1.0603258041543877e+04 -2.9767267881183438e+04 -4.9882521816364326e+07 
-5.0000000000000000e+00 -5.6475012645207157e-01 +7.7468105603866526e+00 -7.8245091599295757e-01 -4.5490568886120826e+01 +1.0495668984884252e+04 -2.8651333543309614e+04 -4.9379466348768182e+07 
-5.0999999999999996e+00 -5.6475037293275476e-01 +7.7467849444804777e+00 -7.7720771912239872e-01 -4.5411437876949279e+01 +1.0376735275663801e+04 -2.7479385398117298e+04 -4.8832131138666183e+07 
-5.2000000000000002e+00 -5.6475063110703783e-01 +7.7467594497110701e+00 -7.7117578204936876e-01 -4.5343575598520630e+01 +1.0246887675989865e+04 -2.6232075148774478e+04 -4.8242709702620067e+07 
-5.2999999999999998e+00 -5.6475090192179744e-01 +7.7467344277206465e+00 -7.6436427531744566e-01 -4.5292089649508171e+01 +1.0106557027943474e+04 -2.4890054453867408e+04 -4.7613395968774185e+07 
-5.4000000000000004e+00 -5.6475118632398424e-01 +7.7467102301389970e+00 -7.5678236388133535e-01 -4.5262087381879617e+01 +9.9561740931100012e+03 -2.3433976209217220e+04 -4.6946383542054497e+07 
-5.5000000000000000e+00 -5.6475148526056573e-01 +7.7466872085972343e+00 -7.4843921016565496e-01 -4.5258676328030610e+01 +9.7961696034952201e+03 -2.1844491981994230e+04 -4.6243865923892781e+07 
-5.5999999999999996e+00 -5.6475179967865341e-01 +7.7466657147172384e+00 -7.3934397328848556e-01 -4.5286963876858714e+01 +9.6269742549014773e+03 -2.0102253960807586e+04 -4.5508036501961902e+07 
-5.7000000000000002e+00 -5.6475213052529616e-01 +7.7466461001201896e+00 -7.2950581236119494e-01 -4.5352057539258460e+01 +9.4490187618941345e+03 -1.8187913364483906e+04 -4.4741088792751297e+07 
-5.7999999999999998e+00 -5.6475247874765522e-01 +7.7466287164154028e+00 -7.1893388084408238e-01 -4.5459064630766989e+01 +9.2627337628323548e+03 -1.6082122271759483e+04 -4.3945216020172581e+07 
-5.9000000000000004e+00 -5.6475284529294445e-01 +7.7466139152094220e+00 -7.0763732864800555e-01 -4.5613092526809147e+01 +9.0685498477791971e+03 -1.3765532169072872e+04 -4.3122611215576939e+07 
-5.9999999999999902e+00 -5.6475323110839548e-01 +7.7466020480900397e+00 -6.9562530809012657e-01 -4.5819248432536362e+01 +8.8668976651058802e+03 -1.1218795191206800e+04 -4.2275467738599151e+07 
-6.0999999999999899e+00 -5.6475363672012346e-01 +7.7465933321608187e+00 -6.8292906966108236e-01 -4.6080062496626155e+01 +8.6584622717765033e+03 -8.4350684872658439e+03 -4.1406894205292955e+07 
-6.1999999999999904e+00 -5.6475406118146343e-01 +7.7465875118532059e+00 -6.6965360213310299e-01 -4.6388870363179841e+01 +8.4447572654279757e+03 -5.4521262877987274e+03 -4.0522917140445933e+07 
-6.2999999999999901e+00 -5.6475450322390885e-01 +7.7465842276724750e+00 -6.5591923419863762e-01 -4.6736957285162148e+01 +8.2274637135691337e+03 -2.3176954407312246e+03 -3.9630137869131431e+07 
-6.3999999999999897e+00 -5.6475496157890781e-01 +7.7465831201478803e+00 -6.4184629903706658e-01 -4.7115609117130859e+01 +8.0082627541554621e+03 +9.2050031640322266e+02 -3.8735157990414836e+07 
-6.4999999999999902e+00 -5.6475543497784098e-01 +7.7465838298295386e+00 -6.2755513725548684e-01 -4.7516112221361162e+01 +7.7888356572795537e+03 +4.2147398068393486e+03 -3.7844579688061953e+07 
-6.5999999999999899e+00 -5.6475592215199066e-01 +7.7465859972944582e+00 -6.1316610112750747e-01 -4.7929753639598175e+01 +7.5708639037805833e+03 +7.5173053886550242e+03 -3.6965006096098617e+07 
-6.6999999999999904e+00 -5.6475642183261621e-01 +7.7465892631415869e+00 -5.9879954471937236e-01 -4.8347820946284635e+01 +7.3560289973477829e+03 +1.0780482095758105e+04 -3.6103040404105417e+07 
-6.7999999999999901e+00 -5.6475693275088557e-01 +7.7465932680000504e+00 -5.8457583577106020e-01 -4.8761602469256630e+01 +7.1460126859324482e+03 +1.3956558863456135e+04 -3.5265286898307957e+07 
-6.8999999999999897e+00 -5.6475745363783636e-01 +7.7465976525274991e+00 -5.7061534712582951e-01 -4.9162387249896312e+01 +6.9424968062184143e+03 +1.6997828314157596e+04 -3.4458350241257310e+07 
-6.9999999999999902e+00 -5.6475798322449422e-01 +7.7466020574046741e+00 -5.5703846187787642e-01 -4.9541464878780779e+01 +6.7471633709999596e+03 +1.9856585781605030e+04 -3.3688835857339226e+07 
-7.0999999999999899e+00 -5.6475852024179551e-01 +7.7466061233443799e+00 -5.4396557037158555e-01 -4.9890125741392424e+01 +6.5616945226123389e+03 +2.2485130694620053e+04 -3.2963349739538539e+07 
-7.1999999999999904e+00 -5.6475906342055793e-01 +7.7466094910918226e+00 -5.3151707560541728e-01 -5.0199661034160194e+01 +6.3877726223826267e+03 +2.4835766679758457e+04 -3.2288498838020023e+07 
-7.2999999999999901e+00 -5.6475961149157083e-01 +7.7466118014243159e+00 -5.1981338693699630e-01 -5.0461362741635000e+01 +6.2270801419449981e+03 +2.6860801385174505e+04 -3.1670890572733272e+07 
-7.3999999999999897e+00 -5.6476016318542499e-01 +7.7466126951465446e+00 -5.0897492637714825e-01 -5.0666523498161347e+01 +6.0812997760106355e+03 +2.8512545674444867e+04 -3.1117133350011796e+07 
-7.4999999999999902e+00 -5.6476071723274845e-01 +7.7466118131019490e+00 -4.9912212395708760e-01 -5.0806436914243854e+01 +5.9521143549012450e+03 +2.9743315505661252e+04 -3.0633836146958135e+07 
-7.5999999999999899e+00 -5.6476127236395945e-01 +7.7466087961661572e+00 -4.9037542028541703e-01 -5.0872397372315660e+01 +5.8412068935559346e+03 +3.0505430698258668e+04 -3.0227608745906420e+07 
