# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +8.1529999999999987e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
-1.0000000000000001e-01 +8.1529997170933495e+00 +0.0000000000000000e+00 -9.9999999999466446e-02 +5.6581327628155243e-06 +0.0000000000000000e+00 +9.9999999998399280e-01
-2.0000000000000001e-01 +8.1529988683734889e+00 +0.0000000000000000e+00 -1.9999999999573143e-01 +1.1316264211980332e-05 +0.0000000000000000e+00 +9.9999999993597111e-01
-3.0000000000000004e-01 +8.1529974538405501e+00 +0.0000000000000000e+00 -2.9999999998559351e-01 +1.6974394327686234e-05 +0.0000000000000000e+00 +9.9999999985593502e-01
-4.0000000000000002e-01 +8.1529954734946681e+00 +0.0000000000000000e+00 -3.9999999996585128e-01 +2.2632523098926882e-05 +0.0000000000000000e+00 +9.9999999974388454e-01
-5.0000000000000000e-01 +8.1529929273359762e+00 +0.0000000000000000e+00 -4.9999999993330324e-01 +2.8290650523497556e-05 +0.0000000000000000e+00 +9.9999999959981967e-01
-5.9999999999999998e-01 +8.1529898153646094e+00 +0.0000000000000000e+00 -5.9999999988474806e-01 +3.3948776607994968e-05 +0.0000000000000000e+00 +9.9999999942374040e-01
-6.9999999999999996e-01 +8.1529861375806991e+00 +0.0000000000000000e+00 -6.9999999981698424e-01 +3.9606901367817130e-05 +0.0000000000000000e+00 +9.9999999921564675e-01
-7.9999999999999993e-01 +8.1529818939843786e+00 +0.0000000000000000e+00 -7.9999999972681035e-01 +4.5265024827163221e-05 +0.0000000000000000e+00 +9.9999999897553882e-01
-8.9999999999999991e-01 +8.1529770845757756e+00 +0.0000000000000000e+00 -8.9999999961102495e-01 +5.0923147019033517e-05 +0.0000000000000000e+00 +9.9999999870341660e-01
-9.9999999999999989e-01 +8.1529717093550147e+00 +0.0000000000000000e+00 -9.9999999946642659e-01 +5.6581267985229364e-05 +0.0000000000000000e+00 +9.9999999839928011e-01
-1.0999999999999999e+00 +8.1529657683222165e+00 +0.0000000000000000e+00 -1.0999999992898140e+00 +6.2239387776353167e-05 +0.0000000000000000e+00 +9.9999999806312934e-01
-1.2000000000000000e+00 +8.1529592614774966e+00 +0.0000000000000000e+00 -1.1999999990779855e+00 +6.7897506451808392e-05 +0.0000000000000000e+00 +9.9999999769496439e-01
-1.3000000000000000e+00 +8.1529521888209615e+00 +0.0000000000000000e+00 -1.2999999988277398e+00 +7.3555624079799689e-05 +0.0000000000000000e+00 +9.9999999729478517e-01
-1.4000000000000001e+00 +8.1529445503527125e+00 +0.0000000000000000e+00 -1.3999999985358753e+00 +7.9213740737332951e-05 +0.0000000000000000e+00 +9.9999999686259178e-01
-1.5000000000000002e+00 +8.1529363460728437e+00 +0.0000000000000000e+00 -1.4999999981991909e+00 +8.4871856510215462e-05 +0.0000000000000000e+00 +9.9999999639838411e-01
-1.6000000000000003e+00 +8.1529275759814368e+00 +0.0000000000000000e+00 -1.5999999978144850e+00 +9.0529971493056099e-05 +0.0000000000000000e+00 +9.9999999590216226e-01
-1.7000000000000004e+00 +8.1529182400785682e+00 +0.0000000000000000e+00 -1.6999999973785562e+00 +9.6188085789265511e-05 +0.0000000000000000e+00 +9.9999999537392625e-01
-1.8000000000000005e+00 +8.1529083383642984e+00 +0.0000000000000000e+00 -1.7999999968882032e+00 +1.0184619951105638e-04 +0.0000000000000000e+00 +9.9999999481367596e-01
-1.9000000000000006e+00 +8.1528978708386806e+00 +0.0000000000000000e+00 -1.8999999963402243e+00 +1.0750431277944372e-04 +0.0000000000000000e+00 +9.9999999422141150e-01
-2.0000000000000004e+00 +8.1528868375017538e+00 +0.0000000000000000e+00 -1.9999999957314183e+00 +1.1316242572424515e-04 +0.0000000000000000e+00 +9.9999999359713287e-01
-2.1000000000000005e+00 +8.1528752383535430e+00 +0.0000000000000000e+00 -2.0999999950585839e+00 +1.1882053848397562e-04 +0.0000000000000000e+00 +9.9999999294083997e-01
-2.2000000000000006e+00 +8.1528630733940588e+00 +0.0000000000000000e+00 -2.1999999943185196e+00 +1.2447865120468506e-04 +0.0000000000000000e+00 +9.9999999225253289e-01
-2.3000000000000007e+00 +8.1528503426232977e+00 +0.0000000000000000e+00 -2.2999999935080235e+00 +1.3013676403879592e-04 +0.0000000000000000e+00 +9.9999999153221153e-01
-2.4000000000000008e+00 +8.1528370460412418e+00 +0.0000000000000000e+00 -2.3999999926238949e+00 +1.3579487714499759e-04 +0.0000000000000000e+00 +9.9999999077987589e-01
-2.5000000000000009e+00 +8.1528231836478540e+00 +0.0000000000000000e+00 -2.4999999916629316e+00 +1.4145299068824653e-04 +0.0000000000000000e+00 +9.9999998999552597e-01
-2.6000000000000010e+00 +8.1528087554430826e+00 +0.0000000000000000e+00 -2.5999999906219329e+00 +1.4711110483976627e-04 +0.0000000000000000e+00 +9.9999998917916166e-01
-2.7000000000000011e+00 +8.1527937614268584e+00 +0.0000000000000000e+00 -2.6999999894976967e+00 +1.5276921977704758e-04 +0.0000000000000000e+00 +9.9999998833078296e-01
-2.8000000000000012e+00 +8.1527782015990944e+00 +0.0000000000000000e+00 -2.7999999882870221e+00 +1.5842733568384855e-04 +0.0000000000000000e+00 +9.9999998745038987e-01
-2.9000000000000012e+00 +8.1527620759596839e+00 +0.0000000000000000e+00 -2.8999999869867077e+00 +1.6408545275019466e-04 +0.0000000000000000e+00 +9.9999998653798228e-01
