# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -5.6495632997010503e-01 +7.7316170058554450e+00 -4.5983153903414442e-01 -3.9514405670977425e+01 +1.4773176835321069e+03 -1.6696823419865243e+04 -1.1707976709932040e+07 
+1.0000000000000001e-01 -5.6495620285366122e-01 +7.7316038330940451e+00 -4.6071194712279057e-01 -3.9407873690908801e+01 +1.5072019691566898e+03 -1.7154211427043290e+04 -1.1845001784067223e+07 
+2.0000000000000001e-01 -5.6495608846073164e-01 +7.7315944801791687e+00 -4.6066461985333118e-01 -3.9387847095353358e+01 +1.5201178672334934e+03 -1.7131023642772998e+04 -1.1903409023110339e+07 
+3.0000000000000004e-01 -5.6495598613521170e-01 +7.7315886815023651e+00 -4.5976001632917751e-01 -3.9448410649225508e+01 +1.5173958978967514e+03 -1.6660522401515784e+04 -1.1889618633199174e+07 
+4.0000000000000002e-01 -5.6495589522104528e-01 +7.7315861714540581e+00 -4.5806858959011998e-01 -3.9583649072550443e+01 +1.5003664649215177e+03 -1.5775970341957218e+04 -1.1810050264729885e+07 
+5.0000000000000000e-01 -5.6495581506215997e-01 +7.7315866844166115e+00 -4.5566079523791864e-01 -3.9787646846927721e+01 +1.4703600229405656e+03 -1.4510631502699867e+04 -1.1671123817976164e+07 
+5.9999999999999998e-01 -5.6495574500251089e-01 +7.7315899547748250e+00 -4.5260708541902411e-01 -4.0054488520516486e+01 +1.4287069623679779e+03 -1.2897769543806229e+04 -1.1479258893368995e+07 
+6.9999999999999996e-01 -5.6495568438606591e-01 +7.7315957169113743e+00 -4.4897791109491531e-01 -4.0378258572333770e+01 +1.3767376511146929e+03 -1.0970648539680858e+04 -1.1240874983799405e+07 
+7.9999999999999993e-01 -5.6495563255678471e-01 +7.7316037052055027e+00 -4.4484372444252762e-01 -4.0753041376974686e+01 +1.3157824843211738e+03 -8.7625331778310338e+03 -1.0962391725452952e+07 
+8.9999999999999991e-01 -5.6495558885864816e-01 +7.7316136540376750e+00 -4.4027497479587208e-01 -4.1172921344107039e+01 +1.2471717993648299e+03 -6.3066879164794027e+03 -1.0650228467945596e+07 
+9.9999999999999989e-01 -5.6495555263563968e-01 +7.7316252977848281e+00 -4.3534211157073005e-01 -4.1631982772187207e+01 +1.1722359398455849e+03 -3.6363778676285956e+03 -1.0310804605489127e+07 
