# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +8.1649999999999991e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -2.7914501914552994e-02 -5.3658441635203746e-01 +5.3502707329648779e-03
-1.0000000000000001e-01 +8.1649997170509447e+00 +0.0000000000000000e+00 -9.9999999999466266e-02 -2.7914421724720549e-02 -5.3658455274495098e-01 +5.3502369815029201e-03
-2.0000000000000001e-01 +8.1649988682036838e+00 +0.0000000000000000e+00 -1.9999999999573009e-01 -2.7914353250620069e-02 -5.3658469467920866e-01 +5.3502051611524735e-03
-3.0000000000000004e-01 +8.1649974534580672e+00 +0.0000000000000000e+00 -2.9999999998558913e-01 -2.7914295699244786e-02 -5.3658484202001777e-01 +5.3501751397026934e-03
-4.0000000000000002e-01 +8.1649954728139402e+00 +0.0000000000000000e+00 -3.9999999996584096e-01 -2.7914248277595650e-02 -5.3658499463258502e-01 +5.3501467849423438e-03
-5.0000000000000000e-01 +8.1649929262711414e+00 +0.0000000000000000e+00 -4.9999999993328315e-01 -2.7914210192680405e-02 -5.3658515238211280e-01 +5.3501199646599296e-03
-5.9999999999999998e-01 +8.1649898138295036e+00 +0.0000000000000000e+00 -5.9999999988471320e-01 -2.7914180651512712e-02 -5.3658531513380059e-01 +5.3500945466438783e-03
-6.9999999999999996e-01 +8.1649861354888564e+00 +0.0000000000000000e+00 -6.9999999981692884e-01 -2.7914158861111257e-02 -5.3658548275284534e-01 +5.3500703986826695e-03
-7.9999999999999993e-01 +8.1649818912490222e+00 +0.0000000000000000e+00 -7.9999999972672753e-01 -2.7914144028498841e-02 -5.3658565510443923e-01 +5.3500473885650067e-03
-8.9999999999999991e-01 +8.1649770811098197e+00 +0.0000000000000000e+00 -8.9999999961090693e-01 -2.7914135360701513e-02 -5.3658583205377119e-01 +5.3500253840799653e-03
-9.9999999999999989e-01 +8.1649717050710642e+00 +0.0000000000000000e+00 -9.9999999946626450e-01 -2.7914132064747681e-02 -5.3658601346602486e-01 +5.3500042530171500e-03
-1.0999999999999999e+00 +8.1649657631325621e+00 +0.0000000000000000e+00 -1.0999999992895979e+00 -2.7914133347667205e-02 -5.3658619920638018e-01 +5.3499838631668462e-03
