# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +7.9199999999999999e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -2.8323097995086127e-02 -5.3820519687820467e-01 +5.3589103170706281e-03
-1.0000000000000001e-01 +7.9199997171285546e+00 +0.0000000000000000e+00 -9.9999999999466557e-02 -2.8323041087592527e-02 -5.3820527934087870e-01 +5.3588530573058729e-03
-2.0000000000000001e-01 +7.9199988685141616e+00 +0.0000000000000000e+00 -1.9999999999573248e-01 -2.8322984195632440e-02 -5.3820536076953718e-01 +5.3587961485642684e-03
-3.0000000000000004e-01 +7.9199974541567348e+00 +0.0000000000000000e+00 -2.9999999998559707e-01 -2.8322927123217739e-02 -5.3820544089774480e-01 +5.3587396899856237e-03
-4.0000000000000002e-01 +7.9199954740561909e+00 +0.0000000000000000e+00 -3.9999999996585972e-01 -2.8322869674358212e-02 -5.3820551945906758e-01 +5.3586837807109130e-03
-5.0000000000000000e-01 +7.9199929282124462e+00 +0.0000000000000000e+00 -4.9999999993331978e-01 -2.8322811653060286e-02 -5.3820559618707331e-01 +5.3586285198821111e-03
-5.9999999999999998e-01 +7.9199898166254208e+00 +0.0000000000000000e+00 -5.9999999988477659e-01 -2.8322752863325761e-02 -5.3820567081533255e-01 +5.3585740066420485e-03
-6.9999999999999996e-01 +7.9199861392950366e+00 +0.0000000000000000e+00 -6.9999999981702943e-01 -2.8322693109150605e-02 -5.3820574307741964e-01 +5.3585203401342613e-03
-7.9999999999999993e-01 +7.9199818962212181e+00 +0.0000000000000000e+00 -7.9999999972687763e-01 -2.8322632194523564e-02 -5.3820581270691170e-01 +5.3584676195028193e-03
-8.9999999999999991e-01 +7.9199770874038915e+00 +0.0000000000000000e+00 -8.9999999961112065e-01 -2.8322569923424960e-02 -5.3820587943739084e-01 +5.3584159438921789e-03
-9.9999999999999989e-01 +7.9199717128429867e+00 +0.0000000000000000e+00 -9.9999999946655782e-01 -2.8322506099825461e-02 -5.3820594300244418e-01 +5.3583654124470335e-03
-1.0999999999999999e+00 +7.9199657725384380e+00 +0.0000000000000000e+00 -1.0999999992899883e+00 -2.8322440527684695e-02 -5.3820600313566402e-01 +5.3583161243121492e-03
-1.2000000000000000e+00 +7.9199592664901814e+00 +0.0000000000000000e+00 -1.1999999990782115e+00 -2.8322373010950114e-02 -5.3820605957064893e-01 +5.3582681786322169e-03
-1.3000000000000000e+00 +7.9199521946981584e+00 +0.0000000000000000e+00 -1.2999999988280269e+00 -2.8322303353555556e-02 -5.3820611204100377e-01 +5.3582216745516869e-03
