# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -5.9459668190140635e-01 +8.1208898642650276e+00 -2.2448535599550387e-02 -2.6805283643063913e+01 -3.9143417503819346e+03 -4.3962123102058773e+04 +9.5690389125625994e+06 
+1.0000000000000001e-01 -5.9459659493939920e-01 +8.1209006154704841e+00 -2.0276733961859195e-02 -2.6987542954617052e+01 -3.9281910245236322e+03 -4.3506714698116688e+04 +9.5988027205817308e+06 
+2.0000000000000001e-01 -5.9459652440116617e-01 +8.1209091558550490e+00 -1.7169435142668523e-02 -2.7177329646831495e+01 -3.9570097307402393e+03 -4.2909134599899218e+04 +9.6957629586975854e+06 
+3.0000000000000004e-01 -5.9459646909236985e-01 +8.1209156598600263e+00 -1.3199409361089078e-02 -2.7377575989779459e+01 -3.9996527096619548e+03 -4.2154005857382683e+04 +9.8548430203485303e+06 
+4.0000000000000002e-01 -5.9459642781862410e-01 +8.1209203019267431e+00 -8.4394321468501936e-03 -2.7591214250347786e+01 -4.0549747006268203e+03 -4.1225951579602850e+04 +1.0070965805308329e+07 
+5.0000000000000000e-01 -5.9459639938558162e-01 +8.1209232564922740e+00 -2.9622721315140251e-03 -2.7821176603314694e+01 -4.1218305848771588e+03 -4.0109595349343661e+04 +1.0339054907606207e+07 
+5.9999999999999998e-01 -5.9459638259885694e-01 +8.1209246979996941e+00 +3.1592968242210029e-03 -2.8070395391091186e+01 -4.1990751366283839e+03 -3.8789559808792634e+04 +1.0654033380689366e+07 
+6.9999999999999996e-01 -5.9459637626410666e-01 +8.1209248008802906e+00 +9.8525077234207746e-03 -2.8341802626165897e+01 -4.2855632678890497e+03 -3.7250469499751314e+04 +1.1010824942273920e+07 
+7.9999999999999993e-01 -5.9459637918694452e-01 +8.1209237395702090e+00 +1.7044588833716373e-02 -2.8638330464850171e+01 -4.3801498006996526e+03 -3.5476948118672401e+04 +1.1404352871110320e+07 
+8.9999999999999991e-01 -5.9459639017301902e-01 +8.1209216885037989e+00 +2.4662773607580495e-02 -2.8962911021101235e+01 -4.4816896579500217e+03 -3.3453619591521514e+04 +1.1829540920308033e+07 
+9.9999999999999989e-01 -5.9459640802796243e-01 +8.1209188221197515e+00 +3.2634293817396368e-02 -2.9318476536574256e+01 -4.5890377285203995e+03 -3.1165107089364701e+04 +1.2281312663987178e+07 
+1.0999999999999999e+00 -5.9459643155741271e-01 +8.1209153148511426e+00 +4.0886383113021937e-02 -2.9707959091356258e+01 -4.7010489425131800e+03 -2.8596034704536531e+04 +1.2754591875160215e+07 
+1.2000000000000000e+00 -5.9459645956703799e-01 +8.1209113411346365e+00 +4.9346278872266773e-02 -3.0134290866320121e+01 -4.8165782968130197e+03 -2.5731025940985743e+04 +1.3244302622171434e+07 
+1.3000000000000000e+00 -5.9459649086248045e-01 +8.1209070754144594e+00 +5.7941215926874581e-02 -3.0600404266090578e+01 -4.9344807410436906e+03 -2.2554702966907120e+04 +1.3745368738466073e+07 
+1.4000000000000001e+00 -5.9459652424940457e-01 +8.1209026921302030e+00 +6.6598432528990420e-02 -3.1109231547993744e+01 -5.0536112918083527e+03 -1.9051688812173154e+04 +1.4252714369428214e+07 
+1.5000000000000002e+00 -5.9459655853349214e-01 +8.1208983657269673e+00 +7.5245169098233367e-02 -3.1663705135115613e+01 -5.1728250037754624e+03 -1.5206605498503308e+04 +1.4761263820116812e+07 
+1.6000000000000003e+00 -5.9459659252042318e-01 +8.1208942706498171e+00 +8.3808666312328153e-02 -3.2266757434135265e+01 -5.2909769363236210e+03 -1.1004075144545826e+04 +1.5265941404495141e+07 
+1.7000000000000004e+00 -5.9459662501590183e-01 +8.1208905813582053e+00 +9.2216168290037676e-02 -3.2921321273294616e+01 -5.4069222147073924e+03 -6.4287173628276496e+03 +1.5761671737468015e+07 
+1.8000000000000005e+00 -5.9459665482562685e-01 +8.1208874723025648e+00 +1.0039491867528366e-01 -3.3630329194846247e+01 -5.5195159541875328e+03 -1.4651534444034289e+03 +1.6243379370729849e+07 
+1.9000000000000006e+00 -5.9459668075532823e-01 +8.1208851179481005e+00 +1.0827216469852276e-01 -3.4396714167981372e+01 -5.6276133339178659e+03 +3.9019978504751161e+03 +1.6705989135304077e+07 
+2.0000000000000004e+00 -5.9459670161075073e-01 +8.1208836927599268e+00 +1.1577515557323914e-01 -3.5223409149438481e+01 -5.7300695677975518e+03 +9.6881177225263746e+03 +1.7144426004055139e+07 
+2.1000000000000005e+00 -5.9459671645930645e-01 +8.1208833010539969e+00 +1.2284796959963054e-01 -3.6110864132632770e+01 -5.8260308459880462e+03 +1.5893176164935630e+04 +1.7554904979955282e+07 
+2.2000000000000006e+00 -5.9459672540732589e-01 +8.1208837653747228e+00 +1.2950185355148361e-01 -3.7049539991695873e+01 -5.9158187445155654e+03 +2.2455233726562466e+04 +1.7938900408986025e+07 
+2.3000000000000007e+00 -5.9459672881890580e-01 +8.1208848375066953e+00 +1.3576480858394208e-01 -3.8027384599430540e+01 -6.0000515848902096e+03 +2.9296797349079072e+04 +1.8299226449753955e+07 
+2.4000000000000008e+00 -5.9459672705812505e-01 +8.1208862692387829e+00 +1.4166483279607564e-01 -3.9032345920136656e+01 -6.0793476324943458e+03 +3.6340374473857046e+04 +1.8638697016248643e+07 
+2.5000000000000009e+00 -5.9459672048905998e-01 +8.1208878123590136e+00 +1.4722992336728580e-01 -4.0052371846116245e+01 -6.1543251384328896e+03 +4.3508472036437161e+04 +1.8960125983437255e+07 
+2.6000000000000010e+00 -5.9459670947575127e-01 +8.1208892186524988e+00 +1.5248807181572524e-01 -4.1075410138105191e+01 -6.2256022485225712e+03 +5.0723596130950558e+04 +1.9266326754878856e+07 
+2.7000000000000011e+00 -5.9459669438219287e-01 +8.1208902399054850e+00 +1.5746726342321726e-01 -4.2089408537618020e+01 -6.2937969936068312e+03 +5.7908252657005403e+04 +1.9560112220628005e+07 
+2.8000000000000012e+00 -5.9459667557237328e-01 +8.1208906279052560e+00 +1.6219548109952470e-01 -4.3082314759232723e+01 -6.3595273611436214e+03 +6.4984947255381790e+04 +1.9844295099670421e+07 
+2.9000000000000012e+00 -5.9459665341023615e-01 +8.1208901344346014e+00 +1.6670070146134919e-01 -4.4042076335084637e+01 -6.4234112250158259e+03 +7.1876184422495659e+04 +2.0121687617390007e+07 
+3.0000000000000013e+00 -5.9459662825969528e-01 +8.1208885112785509e+00 +1.7101089584491061e-01 -4.4956640785534894e+01 -6.4860663613967154e+03 +7.8504468436049283e+04 +2.0395101576984741e+07 
+3.1000000000000014e+00 -5.9459660048461804e-01 +8.1208855102177591e+00 +1.7515402812473571e-01 -4.5813955447492802e+01 -6.5481104054693305e+03 +8.4792302417958752e+04 +2.0667348149808902e+07 
+3.2000000000000015e+00 -5.9459657044881942e-01 +8.1208808830325410e+00 +1.7915805466413143e-01 -4.6601967575331116e+01 -6.6101608601018661e+03 +9.0662188871616498e+04 +2.0941237947404951e+07 
+3.3000000000000016e+00 -5.9459653851609562e-01 +8.1208743815035316e+00 +1.8305092741018161e-01 -4.7308624358180893e+01 -6.6728351427056905e+03 +9.6036629792153908e+04 +2.1219581212811984e+07 
+3.4000000000000017e+00 -5.9459650505017791e-01 +8.1208657574031395e+00 +1.8686058884143608e-01 -4.7921872667768284e+01 -6.7367505006130868e+03 +1.0083812517679195e+05 +2.1505187454317451e+07 
+3.5000000000000018e+00 -5.9459647041474872e-01 +8.1208547625081398e+00 +1.9061497306852490e-01 -4.8429659417148422e+01 -6.8025240229107740e+03 +1.0498917509931902e+05 +2.1800865478331175e+07 
+3.6000000000000019e+00 -5.9459643497344961e-01 +8.1208411485884238e+00 +1.9434200757368286e-01 -4.8819931241772878e+01 -6.8707726807745703e+03 +1.0841227788882951e+05 +2.2109423603738334e+07 
+3.7000000000000020e+00 -5.9459639908984085e-01 +8.1208246674124798e+00 +1.9806960719626715e-01 -4.9080634640456410e+01 -6.9421132088186778e+03 +1.1102993088358293e+05 +2.2433669090885662e+07 
+3.8000000000000020e+00 -5.9459636312745456e-01 +8.1208050707476946e+00 +2.0182568124941366e-01 -4.9199715991575808e+01 -7.0171622424736825e+03 +1.1276463055845103e+05 +2.2776408801138788e+07 
