# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -5.6468398664073194e-01 +7.7346385280881549e+00 -2.4908135198633372e-01 -2.6020710922329069e+01 -1.5196879617470322e+03 -3.9736376457440165e+04 +3.7546192986493632e+06 
+1.0000000000000001e-01 -5.6468370506435384e-01 +7.7346226623387313e+00 -2.5513420198612841e-01 -2.5729218045400412e+01 -1.4376729969836724e+03 -4.1220217499463128e+04 +3.4714393077725568e+06 
+2.0000000000000001e-01 -5.6468343852940239e-01 +7.7346068350046320e+00 -2.6153553276364411e-01 -2.5463668596091662e+01 -1.3411238122244636e+03 -4.2577002563396200e+04 +3.1062015759640015e+06 
+2.9999999999999999e-01 -5.6468318705242337e-01 +7.7345910825147905e+00 -2.6822933626823064e-01 -2.5223168842717037e+01 -1.2315794143333735e+03 -4.3809359282543701e+04 +2.6667354145770571e+06 
+4.0000000000000002e-01 -5.6468295065012997e-01 +7.7345754412927352e+00 -2.7515959460354139e-01 -2.5006824974381463e+01 -1.1105790020461550e+03 -4.4919915502926815e+04 +2.1608710558219985e+06 
+5.0000000000000000e-01 -5.6468272933909958e-01 +7.7345599477619347e+00 -2.8227029726355096e-01 -2.4813743236529330e+01 -9.7966162415621375e+02 -4.5911298548005609e+04 +1.5964379896326717e+06 
+5.9999999999999998e-01 -5.6468252313598932e-01 +7.7345446383446159e+00 -2.8950543021124681e-01 -2.4643029884274139e+01 -8.4036639721686072e+02 -4.6786135516763570e+04 +9.8126602636975411e+05 
+6.9999999999999996e-01 -5.6468233205740315e-01 +7.7345295494600190e+00 -2.9680897891289931e-01 -2.4493791122919170e+01 -6.9423244537181506e+02 -4.7547053664299536e+04 +3.2318500327940105e+05 
+8.0000000000000004e-01 -5.6468215611994577e-01 +7.7345147175266362e+00 -3.0412493234748256e-01 -2.4365133168131209e+01 -5.4279882436837295e+02 -4.8196680059396458e+04 -3.6997557508921827e+05 
+9.0000000000000002e-01 -5.6468199534027363e-01 +7.7345001789590127e+00 -3.1139727304370302e-01 -2.4256162135382585e+01 -3.8760471001819820e+02 -4.8737642270353841e+04 -1.0903856436059712e+06 
+1.0000000000000000e+00 -5.6468184973499191e-01 +7.7344859701715105e+00 -3.1856998995391661e-01 -2.4165984149062961e+01 -2.3018915636902972e+02 -4.9172567738252830e+04 -1.8302157189050242e+06 
+1.1000000000000001e+00 -5.6468171932081812e-01 +7.7344721275762307e+00 -3.2558706503041013e-01 -2.4093705261585690e+01 -7.2091349257935605e+01 -4.9504084301288451e+04 -2.5816356974832942e+06 
+1.2000000000000000e+00 -5.6468160411427570e-01 +7.7344586875794832e+00 -3.3239248712610026e-01 -2.4038431346662019e+01 +8.5149655618056386e+01 -4.9734820820795576e+04 -3.3368160948071671e+06 
+1.3000000000000000e+00 -5.6468150413203666e-01 +7.7344456865865761e+00 -3.3893024057006071e-01 -2.3999268218808208e+01 +2.3999471815192209e+02 -4.9867406548628423e+04 -4.0879270331812007e+06 
+1.3999999999999999e+00 -5.6468141939078786e-01 +7.7344331610031638e+00 -3.4514430790246903e-01 -2.3975321685226653e+01 +3.9090466068342994e+02 -4.9904470779971467e+04 -4.8271384481484145e+06 
+1.5000000000000000e+00 -5.6468134990713292e-01 +7.7344211472302202e+00 -3.5097867563261859e-01 -2.3965697367122925e+01 +5.3634038342962344e+02 -4.9848643991305209e+04 -5.5466206561575886e+06 
+1.6000000000000001e+00 -5.6468129569772729e-01 +7.7344096816655759e+00 -3.5637732731360999e-01 -2.3969500739148867e+01 +6.7476272738330135e+02 -4.9702557614259560e+04 -6.2385436860465473e+06 
+1.7000000000000000e+00 -5.6468125677922176e-01 +7.7343988007010669e+00 -3.6128424701156631e-01 -2.3985837042642007e+01 +8.0463253998198422e+02 -4.9468844560594312e+04 -6.8950775913576270e+06 
+1.8000000000000000e+00 -5.6468123316831342e-01 +7.7343885407348480e+00 -3.6564341719159738e-01 -2.4013811632522209e+01 +9.2441063855829657e+02 -4.9150137229098676e+04 -7.5083922860928122e+06 
+1.8999999999999999e+00 -5.6468122488162553e-01 +7.7343789381521466e+00 -3.6939882302134158e-01 -2.4052529399254428e+01 +1.0325578891064015e+03 -4.8749070914778815e+04 -8.0706579096995601e+06 
+2.0000000000000000e+00 -5.6468123193587005e-01 +7.7343700293411413e+00 -3.7249444540026305e-01 -2.4101095228490763e+01 +1.1275350713478256e+03 -4.8268281147900154e+04 -8.5740441803829111e+06 
+2.1000000000000001e+00 -5.6468125413061188e-01 +7.7343618342376566e+00 -3.7489083161511955e-01 -2.4158547701745640e+01 +1.2081974875541205e+03 -4.7711345741038131e+04 -9.0126743237182200e+06 
+2.2000000000000002e+00 -5.6468129039530657e-01 +7.7343543110687722e+00 -3.7661485619224178e-01 -2.4223863656834702e+01 +1.2749836482436990e+03 -4.7084619284105487e+04 -9.3885025970383901e+06 
+2.2999999999999998e+00 -5.6468133944122534e-01 +7.7343474036537794e+00 -3.7771000183763709e-01 -2.4296055241220625e+01 +1.3287294623445941e+03 -4.6394905297799582e+04 -9.7054468014158718e+06 
+2.3999999999999999e+00 -5.6468139997968581e-01 +7.7343410558163708e+00 -3.7821975222976056e-01 -2.4374134726585350e+01 +1.3702708560497485e+03 -4.5649006547843492e+04 -9.9674248183381092e+06 
+2.5000000000000000e+00 -5.6468147072196406e-01 +7.7343352113734438e+00 -3.7818758960599841e-01 -2.4457114150839747e+01 +1.4004437288485242e+03 -4.4853727212943384e+04 -1.0178354402761547e+07 
+2.6000000000000001e+00 -5.6468155037933621e-01 +7.7343298141507457e+00 -3.7765699576992490e-01 -2.4544005805509929e+01 +1.4200839701576106e+03 -4.4015869955863294e+04 -1.0342153258350134e+07 
+2.7000000000000002e+00 -5.6468163766314783e-01 +7.7343248079648994e+00 -3.7667145835896632e-01 -2.4633821695565892e+01 +1.4300275841085966e+03 -4.3142239114448974e+04 -1.0462739645172376e+07 
+2.7999999999999998e+00 -5.6468173128463528e-01 +7.7343201366373737e+00 -3.7527445713504431e-01 -2.4725573961067262e+01 +1.4311104208541246e+03 -4.2239638207716052e+04 -1.0544031077925906e+07 
+2.8999999999999999e+00 -5.6468182995511462e-01 +7.7343157439899821e+00 -3.7350947967593173e-01 -2.4818274729508015e+01 +1.4241684824550734e+03 -4.1314870841007876e+04 -1.0589945804155335e+07 
+3.0000000000000000e+00 -5.6468193238583841e-01 +7.7343115738451065e+00 -3.7142001077589587e-01 -2.4910936140740048e+01 +1.4100377157684434e+03 -4.0374740502819390e+04 -1.0604401800676096e+07 
+3.1000000000000001e+00 -5.6468203728809763e-01 +7.7343075700246864e+00 -3.6904953394237056e-01 -2.5002570313031800e+01 +1.3895540460943096e+03 -3.9426050784566993e+04 -1.0591316950247385e+07 
+3.2000000000000002e+00 -5.6468214337317701e-01 +7.7343036763573050e+00 -3.6644153697736725e-01 -2.5092189545529664e+01 +1.3635534783921923e+03 -3.8475604206891679e+04 -1.0554609506892001e+07 
+3.2999999999999998e+00 -5.6468224935229017e-01 +7.7342998366626565e+00 -3.6363950564605912e-01 -2.5178805877686422e+01 +1.3328719806983836e+03 -3.7530204743686372e+04 -1.0498197554405157e+07 
+3.3999999999999999e+00 -5.6468235393677291e-01 +7.7342959947715695e+00 -3.6068692829875582e-01 -2.5261431657213194e+01 +1.2983455698455625e+03 -3.6596654576347821e+04 -1.0425999404410657e+07 
+3.5000000000000000e+00 -5.6468245583779864e-01 +7.7342920945125595e+00 -3.5762729213917827e-01 -2.5339079176601881e+01 +1.2608102415302772e+03 -3.5681756110176284e+04 -1.0341933269284762e+07 
+3.6000000000000001e+00 -5.6468255376665433e-01 +7.7342880797167037e+00 -3.5450408775804448e-01 -2.5410760781325791e+01 +1.2211020572768105e+03 -3.4792311453281378e+04 -1.0249917676875001e+07 
+3.7000000000000002e+00 -5.6468264643455524e-01 +7.7342838942161851e+00 -3.5136080352477755e-01 -2.5475488865737795e+01 +1.1800570329622155e+03 -3.3935122324945754e+04 -1.0153870925850617e+07 
+3.7999999999999998e+00 -5.6468273255272794e-01 +7.7342794818477660e+00 -3.4824093089697311e-01 -2.5532275941341570e+01 +1.1385112522138120e+03 -3.3116989753035690e+04 -1.0057711659928972e+07 
+3.8999999999999999e+00 -5.6468281083238836e-01 +7.7342747864484611e+00 -3.4518796112279149e-01 -2.5580134538375397e+01 +1.0973007855906189e+03 -3.2344714563254867e+04 -9.9653584335710090e+06 
+4.0000000000000000e+00 -5.6468287998477429e-01 +7.7342697518607046e+00 -3.4224538680825939e-01 -2.5618077344674230e+01 +1.0572617350900682e+03 -3.1625096619519951e+04 -9.8807299634566549e+06 
+4.0999999999999996e+00 -5.6468293909118672e-01 +7.7342643513152112e+00 -3.3945071791907139e-01 -2.5645788578186025e+01 +1.0191242844836561e+03 -3.0961181087810601e+04 -9.8071634793541227e+06 
+4.2000000000000002e+00 -5.6468298871950173e-01 +7.7342586815193135e+00 -3.3681749829279389e-01 -2.5665547684989289e+01 +9.8319556030192905e+02 -3.0341887740094415e+04 -9.7456834960888512e+06 
+4.2999999999999998e+00 -5.6468302981061458e-01 +7.7342528715502903e+00 -3.3435328759318883e-01 -2.5680260704025777e+01 +9.4967705988139437e+02 -2.9752823495385437e+04 -9.6967388325977810e+06 
+4.4000000000000004e+00 -5.6468306330557760e-01 +7.7342470504883920e+00 -3.3206563982362947e-01 -2.5692833810267665e+01 +9.1877017331082584e+02 -2.9179594512250053e+04 -9.6607777961294223e+06 
+4.5000000000000000e+00 -5.6468309014535123e-01 +7.7342413474200589e+00 -3.2996211050077617e-01 -2.5706173398297725e+01 +8.9067632056052082e+02 -2.8607805755696136e+04 -9.6382488311792389e+06 
+4.5999999999999996e+00 -5.6468311127095849e-01 +7.7342358914307168e+00 -3.2805025124851822e-01 -2.5723185895962981e+01 +8.6559685283940041e+02 -2.8023062031218444e+04 -9.6296000656765606e+06 
+4.7000000000000002e+00 -5.6468312762346906e-01 +7.7342308116171967e+00 -3.2633761189712990e-01 -2.5746778119796911e+01 +8.4373308850367482e+02 -2.7410965934657597e+04 -9.6352794667659663e+06 
+4.7999999999999998e+00 -5.6468314014390752e-01 +7.7342262370747141e+00 -3.2483174089357292e-01 -2.5779856903276542e+01 +8.2528632076636222e+02 -2.6757120027879646e+04 -9.6557348796774652e+06 
+4.9000000000000004e+00 -5.6468314977335710e-01 +7.7342222969070340e+00 -3.2354018376192428e-01 -2.5825329386857721e+01 +8.1045779229992172e+02 -2.6047125163765788e+04 -9.6914139155362993e+06 
+5.0000000000000000e+00 -5.6468315745294151e-01 +7.7342191202216233e+00 -3.2247048150581975e-01 -2.5886102897662887e+01 +7.9944866385624687e+02 -2.5266581144377105e+04 -9.7427638000958357e+06 
+5.0999999999999996e+00 -5.6468316412381991e-01 +7.7342168361323251e+00 -3.2163017428983820e-01 -2.5965085019803755e+01 +7.9246008025615731e+02 -2.4401086352416078e+04 -9.8102316753673926e+06 
+5.2000000000000002e+00 -5.6468317072712615e-01 +7.7342155737573517e+00 -3.2102679919410826e-01 -2.6065183530535879e+01 +7.8969313301753016e+02 -2.3436238145075040e+04 -9.8942644376203865e+06 
+5.2999999999999998e+00 -5.6468317820404057e-01 +7.7342154622196810e+00 -3.2066789166598825e-01 -2.6189306438637775e+01 +7.9134888552607742e+02 -2.2357632567606226e+04 -9.9953088472636901e+06 
+5.4000000000000004e+00 -5.6468318749582069e-01 +7.7342166306512210e+00 -3.2056098135400568e-01 -2.6340362086179177e+01 +7.9762829449911692e+02 -2.1150863829421985e+04 -1.0113811160443947e+07 
+5.5000000000000000e+00 -5.6468319954365309e-01 +7.7342192081876906e+00 -3.2071359667081933e-01 -2.6521259023438372e+01 +8.0873229544171102e+02 -1.9801524980088576e+04 -1.0250217529807109e+07 
+5.5999999999999996e+00 -5.6468321528890619e-01 +7.7342233239705411e+00 -3.2113326193712005e-01 -2.6734906043790811e+01 +8.2486175277609948e+02 -1.8295207780740719e+04 -1.0404973777740385e+07 
+5.7000000000000002e+00 -5.6468323567281409e-01 +7.7342291071527880e+00 -3.2182749750229134e-01 -2.6984212384134548e+01 +8.4621745679120363e+02 -1.6617501454813068e+04 -1.0578525369652694e+07 
+5.7999999999999998e+00 -5.6468326163676608e-01 +7.7342366868884325e+00 -3.2280382226212662e-01 -2.7272087403831858e+01 +8.7300017373016988e+02 -1.4753994612251030e+04 -1.0771317656753324e+07 
+5.9000000000000004e+00 -5.6468329412209428e-01 +7.7342461923398211e+00 -3.2406974954146250e-01 -2.7601440799982523e+01 +9.0541057134256937e+02 -1.2690274009708766e+04 -1.0983795531127814e+07 
+5.9999999999999902e+00 -5.6468333407029492e-01 +7.7342577526778404e+00 -3.2563278970509152e-01 -2.7975182621530717e+01 +9.4364926253588601e+02 -1.0411924482941098e+04 -1.1216403622546941e+07 
+6.0999999999999899e+00 -5.6468338230030402e-01 +7.7342714717665961e+00 -3.2749316944988544e-01 -2.8395413982377804e+01 +9.8775984380176249e+02 -7.9097522065000248e+03 -1.1468971482727779e+07 
+6.1999999999999904e+00 -5.6468343912692076e-01 +7.7342873404901340e+00 -3.2962296175582062e-01 -2.8860886767741487e+01 +1.0371662291525954e+03 -5.1951006877371647e+03 -1.1738864869447006e+07 
+6.2999999999999901e+00 -5.6468350473538842e-01 +7.7343053185190396e+00 -3.3198739348252682e-01 -2.9369485072153221e+01 +1.0911387540727726e+03 -2.2843799890394625e+03 -1.2022831237506505e+07 
+6.3999999999999897e+00 -5.6468357931092816e-01 +7.7343253655165860e+00 -3.3455169244168270e-01 -2.9919092716014298e+01 +1.1489477864986063e+03 +8.0599811524629729e+02 -1.2317618222556297e+07 
+6.4999999999999902e+00 -5.6468366303868067e-01 +7.7343474411428383e+00 -3.3728109020147762e-01 -3.0507593377090060e+01 +1.2098637745349974e+03 +4.0596209268175508e+03 -1.2619973853062591e+07 
+6.5999999999999899e+00 -5.6468375610388077e-01 +7.7343715050591806e+00 -3.4014082281759173e-01 -3.1132870710819475e+01 +1.2731572698185919e+03 +7.4600754979846806e+03 -1.2926646684148913e+07 
+6.6999999999999904e+00 -5.6468385869168825e-01 +7.7343975169147825e+00 -3.4309612593385796e-01 -3.1792807941237779e+01 +1.3380988239564049e+03 +1.0990946207683350e+04 -1.3234385278154615e+07 
+6.7999999999999901e+00 -5.6468397098726519e-01 +7.7344254363576423e+00 -3.4611224018862108e-01 -3.2485288201713566e+01 +1.4039590991262887e+03 +1.4635816813064668e+04 -1.3539938749962840e+07 
+6.8999999999999897e+00 -5.6468409317575352e-01 +7.7344552230349519e+00 -3.4915441024389621e-01 -3.3208194523362813e+01 +1.4700088485358217e+03 +1.8378270315085061e+04 -1.3840056672619144e+07 
+6.9999999999999902e+00 -5.6468422544232322e-01 +7.7344868365843746e+00 -3.5218788233018528e-01 -3.3959409586432436e+01 +1.5355188685982757e+03 +2.2201887538584288e+04 -1.4131488845311806e+07 
+7.0999999999999899e+00 -5.6468436797206056e-01 +7.7345202366420578e+00 -3.5517790768064467e-01 -3.4736815952222017e+01 +1.5997600657240478e+03 +2.6090248481605275e+04 -1.4410985614180477e+07 
+7.1999999999999904e+00 -5.6468452095005939e-01 +7.7345553828348157e+00 -3.5808974201562765e-01 -3.5538295828294729e+01 +1.6620034487056246e+03 +3.0026930940196846e+04 -1.4675297842740426e+07 
+7.2999999999999901e+00 -5.6468468456143806e-01 +7.7345922347877458e+00 -3.6088864271739357e-01 -3.6361731286580650e+01 +1.7215200701489375e+03 +3.3995511763801980e+04 -1.4921176619407510e+07 
+7.3999999999999897e+00 -5.6468485899121090e-01 +7.7346307521189246e+00 -3.6353987165023677e-01 -3.7205004111387034e+01 +1.7775810853174844e+03 +3.7979565979940511e+04 -1.5145373550471859e+07 
+7.4999999999999902e+00 -5.6468504442449519e-01 +7.7346708944401117e+00 -3.6600869710418432e-01 -3.8065995809058442e+01 +1.8294577879602032e+03 +4.1962666844363033e+04 -1.5344640928255225e+07 
+7.5999999999999899e+00 -5.6468524104622508e-01 +7.7347126213567607e+00 -3.6826039095224461e-01 -3.8942587615047429e+01 +1.8764215574625969e+03 +4.5928385888202538e+04 -1.5515731482334981e+07 
+7.6999999999999904e+00 -5.6468544904145868e-01 +7.7347558924684847e+00 -3.7026022557723820e-01 -3.9832660484628647e+01 +1.9177437987793242e+03 +4.9860292812884516e+04 -1.5655398087677881e+07 
+7.7999999999999901e+00 -5.6468566859518710e-01 +7.7348006673693304e+00 -3.7197348326030372e-01 -4.0734095126185224e+01 +1.9526961213796139e+03 +5.3741955758360658e+04 -1.5760394618455492e+07 
+7.8999999999999897e+00 -5.6468589989234796e-01 +7.7348469056450462e+00 -3.7336544859451787e-01 -4.1644771899502118e+01 +1.9805502007713624e+03 +5.7556940658284533e+04 -1.5827475303415975e+07 
+7.9999999999999902e+00 -5.6468614311790111e-01 +7.7348945668731268e+00 -3.7440141181555386e-01 -4.2562570825515614e+01 +2.0005778339381093e+03 +6.1288811468683642e+04 -1.5853394954380741e+07 
+8.0999999999999908e+00 -5.6468639833509326e-01 +7.7349435608168253e+00 -3.7505718988639697e-01 -4.3484785325416240e+01 +2.0122886216704626e+03 +6.4921316051634327e+04 -1.5836073894529618e+07 
+8.1999999999999904e+00 -5.6468666513587651e-01 +7.7349936078914965e+00 -3.7534591295248221e-01 -4.4406822389317632e+01 +2.0160709933779196e+03 +6.8441357709940188e+04 -1.5777904876102859e+07 
+8.2999999999999901e+00 -5.6468694299793198e-01 +7.7350443835447242e+00 -3.7528888577752467e-01 -4.5323738660768022e+01 +2.0125167826692966e+03 +7.1837325282404781e+04 -1.5682361052837428e+07 
+8.3999999999999897e+00 -5.6468723139894428e-01 +7.7350955632232834e+00 -3.7490741190359650e-01 -4.6230590857165190e+01 +2.0022177603325438e+03 +7.5097608624397442e+04 -1.5552915215131585e+07 
