# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
-0.0000000000000000e+00 +8.1530000000000094e+00 +0.0000000000000000e+00 -0.0000000000000000e+00 -2.8399884023471145e-02 -5.3669967324851720e-01 +5.3298233210911381e-03
-1.0000000000000001e-01 +8.1529997159377707e+00 +0.0000000000000000e+00 -1.0008006405070299e-01 -2.8399886486246594e-02 -5.3669966637477518e-01 +5.3298144500335543e-03
-2.0000000000000001e-01 +8.1529988637557800e+00 +0.0000000000000000e+00 -2.0016012809818201e-01 -2.8399885481573930e-02 -5.3669967881198977e-01 +5.3298044001514880e-03
-2.9999999999999999e-01 +8.1529974434524792e+00 +0.0000000000000000e+00 -3.0024019213920999e-01 -2.8399880877756314e-02 -5.3669970870208938e-01 +5.3297933334420199e-03
-4.0000000000000002e-01 +8.1529954550242092e+00 +0.0000000000000000e+00 -4.0032025617056399e-01 -2.8399872543096380e-02 -5.3669975418699611e-01 +5.3297814119008463e-03
-5.0000000000000000e-01 +8.1529928984782600e+00 +0.0000000000000000e+00 -5.0040032018901703e-01 -2.8399860345890544e-02 -5.3669981340853179e-01 +5.3297687975217625e-03
-5.9999999999999998e-01 +8.1529897738146193e+00 +0.0000000000000000e+00 -6.0048038419134497e-01 -2.8399844154435357e-02 -5.3669988450855566e-01 +5.3297556522985167e-03
-6.9999999999999996e-01 +8.1529860810223909e+00 +0.0000000000000000e+00 -7.0056044817432195e-01 -2.8399823837028288e-02 -5.3669996562899280e-01 +5.3297421382255449e-03
-8.0000000000000004e-01 +8.1529818201124709e+00 +0.0000000000000000e+00 -8.0064051213472498e-01 -2.8399799261954427e-02 -5.3670005491159656e-01 +5.3297284172959839e-03
-9.0000000000000002e-01 +8.1529769910812302e+00 +0.0000000000000000e+00 -9.0072057606932698e-01 -2.8399770297499845e-02 -5.3670015049821773e-01 +5.3297146515048797e-03
-1.0000000000000000e+00 +8.1529715939250291e+00 +0.0000000000000000e+00 -1.0008006399749001e+00 -2.8399736811945339e-02 -5.3670025053070192e-01 +5.3297010028485565e-03
-1.1000000000000001e+00 +8.1529656286511507e+00 +0.0000000000000000e+00 -1.1008807038482300e+00 -2.8399698673561576e-02 -5.3670035315081022e-01 +5.3296876333242737e-03
-1.2000000000000000e+00 +8.1529590952522994e+00 +0.0000000000000000e+00 -1.2009607676860801e+00 -2.8399655750618265e-02 -5.3670045650040965e-01 +5.3296747049326109e-03
-1.3000000000000000e+00 +8.1529519937357708e+00 +0.0000000000000000e+00 -1.3010408314852300e+00 -2.8399607911372231e-02 -5.3670055872126254e-01 +5.3296623796757489e-03
-1.3999999999999999e+00 +8.1529443240979198e+00 +0.0000000000000000e+00 -1.4011208952424601e+00 -2.8399555024076616e-02 -5.3670065795521504e-01 +5.3296508195598523e-03
-1.5000000000000000e+00 +8.1529360863350995e+00 +0.0000000000000000e+00 -1.5012009589545301e+00 -2.8399496956976022e-02 -5.3670075234412051e-01 +5.3296401865947276e-03
-1.6000000000000001e+00 +8.1529272804509691e+00 +0.0000000000000000e+00 -1.6012810226182299e+00 -2.8399433578303053e-02 -5.3670084002978846e-01 +5.3296306427937446e-03
-1.7000000000000000e+00 +8.1529179064491508e+00 +0.0000000000000000e+00 -1.7013610862303301e+00 -2.8399364756280427e-02 -5.3670091915404050e-01 +5.3296223501748440e-03
-1.8000000000000000e+00 +8.1529079643223703e+00 +0.0000000000000000e+00 -1.8014411497875999e+00 -2.8399290359124547e-02 -5.3670098785879261e-01 +5.3296154707618438e-03
-1.8999999999999999e+00 +8.1528974540779000e+00 +0.0000000000000000e+00 -1.9015212132868200e+00 -2.8399210255035053e-02 -5.3670104428587262e-01 +5.3296101665829864e-03
-2.0000000000000000e+00 +8.1528863757084800e+00 +0.0000000000000000e+00 -2.0016012767247702e+00 -2.8399124312206415e-02 -5.3670108657723647e-01 +5.3296065996733975e-03
-2.1000000000000001e+00 +8.1528747292177304e+00 +0.0000000000000000e+00 -2.1016813400982199e+00 -2.8399032665302037e-02 -5.3670111343463001e-01 +5.3296048808427641e-03
-2.2000000000000002e+00 +8.1528625146056601e+00 +0.0000000000000000e+00 -2.2017614034039301e+00 -2.8398936464978420e-02 -5.3670112569431794e-01 +5.3296049255823564e-03
-2.2999999999999998e+00 +8.1528497318759001e+00 +0.0000000000000000e+00 -2.3018414666387002e+00 -2.8398837103982479e-02 -5.3670112470116216e-01 +5.3296066028417390e-03
-2.3999999999999999e+00 +8.1528363810211903e+00 +0.0000000000000000e+00 -2.4019215297993002e+00 -2.8398735975064121e-02 -5.3670111180012559e-01 +5.3296097815709381e-03
-2.5000000000000000e+00 +8.1528224620451493e+00 +0.0000000000000000e+00 -2.5020015928824901e+00 -2.8398634470968603e-02 -5.3670108833611307e-01 +5.3296143307184560e-03
-2.6000000000000001e+00 +8.1528079749477893e+00 +0.0000000000000000e+00 -2.6020816558850601e+00 -2.8398533984442729e-02 -5.3670105565407988e-01 +5.3296201192320073e-03
