# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +8.1530000000000094e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -3.1315889373679996e-02 -5.9311490898450847e-01 +6.0499052893712730e-03
1.0000000000000001e-01 +8.1529997159377707e+00 +0.0000000000000000e+00 +1.0008006405070299e-01 -3.1315647428815194e-02 -5.9311435323826667e-01 +6.0500692240487847e-03
2.0000000000000001e-01 +8.1529988637557800e+00 +0.0000000000000000e+00 +2.0016012809818201e-01 -3.1315386865712135e-02 -5.9311381689534892e-01 +6.0502291406885926e-03
2.9999999999999999e-01 +8.1529974434524792e+00 +0.0000000000000000e+00 +3.0024019213920999e-01 -3.1315110382998917e-02 -5.9311329896181153e-01 +6.0503849596796029e-03
4.0000000000000002e-01 +8.1529954550242092e+00 +0.0000000000000000e+00 +4.0032025617056399e-01 -3.1314820679310025e-02 -5.9311279844372977e-01 +6.0505366014106596e-03
5.0000000000000000e-01 +8.1529928984782600e+00 +0.0000000000000000e+00 +5.0040032018901703e-01 -3.1314520453279898e-02 -5.9311231434708955e-01 +6.0506839862694882e-03
5.9999999999999998e-01 +8.1529897738146193e+00 +0.0000000000000000e+00 +6.0048038419134497e-01 -3.1314212403549736e-02 -5.9311184567793596e-01 +6.0508270346443490e-03
6.9999999999999996e-01 +8.1529860810223909e+00 +0.0000000000000000e+00 +7.0056044817432195e-01 -3.1313899228768011e-02 -5.9311139144239988e-01 +6.0509656669244117e-03
8.0000000000000004e-01 +8.1529818201124709e+00 +0.0000000000000000e+00 +8.0064051213472498e-01 -3.1313583627576046e-02 -5.9311095064643415e-01 +6.0510998034970119e-03
9.0000000000000002e-01 +8.1529769910812302e+00 +0.0000000000000000e+00 +9.0072057606932698e-01 -3.1313268298622111e-02 -5.9311052229610473e-01 +6.0512293647508580e-03
1.0000000000000000e+00 +8.1529715939250291e+00 +0.0000000000000000e+00 +1.0008006399749001e+00 -3.1312955940554603e-02 -5.9311010539747511e-01 +6.0513542710748528e-03
1.1000000000000001e+00 +8.1529656286511507e+00 +0.0000000000000000e+00 +1.1008807038482300e+00 -3.1312649252016538e-02 -5.9310969895651366e-01 +6.0514744428572182e-03
1.2000000000000000e+00 +8.1529590952522994e+00 +0.0000000000000000e+00 +1.2009607676860801e+00 -3.1312350931655249e-02 -5.9310930197930289e-01 +6.0515898004877729e-03
1.3000000000000000e+00 +8.1529519937357708e+00 +0.0000000000000000e+00 +1.3010408314852300e+00 -3.1312063678109396e-02 -5.9310891347179884e-01 +6.0517002643554847e-03
1.3999999999999999e+00 +8.1529443240979198e+00 +0.0000000000000000e+00 +1.4011208952424601e+00 -3.1311790190018618e-02 -5.9310853244003892e-01 +6.0518057548507431e-03
1.5000000000000000e+00 +8.1529360863350995e+00 +0.0000000000000000e+00 +1.5012009589545301e+00 -3.1311533166018181e-02 -5.9310815789005367e-01 +6.0519061923644977e-03
1.6000000000000001e+00 +8.1529272804509691e+00 +0.0000000000000000e+00 +1.6012810226182299e+00 -3.1311295304734935e-02 -5.9310778882780291e-01 +6.0520014972876967e-03
1.7000000000000000e+00 +8.1529179064491508e+00 +0.0000000000000000e+00 +1.7013610862303301e+00 -3.1311079304789532e-02 -5.9310742425923846e-01 +6.0520915900119853e-03
1.8000000000000000e+00 +8.1529079643223703e+00 +0.0000000000000000e+00 +1.8014411497875999e+00 -3.1310887864799998e-02 -5.9310706319038875e-01 +6.0521763909307203e-03
1.8999999999999999e+00 +8.1528974540779000e+00 +0.0000000000000000e+00 +1.9015212132868200e+00 -3.1310723683370283e-02 -5.9310670462715276e-01 +6.0522558204368568e-03
2.0000000000000000e+00 +8.1528863757084800e+00 +0.0000000000000000e+00 +2.0016012767247702e+00 -3.1310589459098023e-02 -5.9310634757553549e-01 +6.0523297989256248e-03
2.1000000000000001e+00 +8.1528747292177304e+00 +0.0000000000000000e+00 +2.1016813400982199e+00 -3.1310487005464460e-02 -5.9310599122938323e-01 +6.0523982757587063e-03
2.2000000000000002e+00 +8.1528625146056601e+00 +0.0000000000000000e+00 +2.2017614034039301e+00 -3.1310414761415405e-02 -5.9310563549911621e-01 +6.0524613107355235e-03
2.2999999999999998e+00 +8.1528497318759001e+00 +0.0000000000000000e+00 +2.3018414666387002e+00 -3.1310370361810384e-02 -5.9310528046586419e-01 +6.0525189899695514e-03
2.3999999999999999e+00 +8.1528363810211903e+00 +0.0000000000000000e+00 +2.4019215297993002e+00 -3.1310351441520251e-02 -5.9310492621084765e-01 +6.0525713995741286e-03
2.5000000000000000e+00 +8.1528224620451493e+00 +0.0000000000000000e+00 +2.5020015928824901e+00 -3.1310355635419368e-02 -5.9310457281519913e-01 +6.0526186256604558e-03
2.6000000000000001e+00 +8.1528079749477893e+00 +0.0000000000000000e+00 +2.6020816558850601e+00 -3.1310380578392541e-02 -5.9310422036008514e-01 +6.0526607543386641e-03
2.7000000000000002e+00 +8.1527929197291105e+00 +0.0000000000000000e+00 +2.7021617188037701e+00 -3.1310423905334617e-02 -5.9310386892667488e-01 +6.0526978717173512e-03
2.7999999999999998e+00 +8.1527772963891003e+00 +0.0000000000000000e+00 +2.8022417816354102e+00 -3.1310483251151502e-02 -5.9310351859614163e-01 +6.0527300639034477e-03
2.8999999999999999e+00 +8.1527611049277802e+00 +0.0000000000000000e+00 +2.9023218443767500e+00 -3.1310556250761228e-02 -5.9310316944966535e-01 +6.0527574170020412e-03
