# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
-0.0000000000000000e+00 -5.6508758460753361e-01 +7.7361111605437083e+00 -9.4259529640664608e-01 -9.2400272258286932e+01 +8.3511173794115384e+03 +3.3240392605598224e+05 -4.3920148872822590e+07 
-1.0000000000000001e-01 -5.6508802254778401e-01 +7.7361344334866358e+00 -9.4912925262066394e-01 -9.3042917379799107e+01 +8.4954987153482289e+03 +3.3626458672878187e+05 -4.4588575752486221e+07 
-2.0000000000000001e-01 -5.6508845884433667e-01 +7.7361570320410031e+00 -9.5618542350180225e-01 -9.3636413111042870e+01 +8.6498428467845351e+03 +3.3975249687931995e+05 -4.5299036767349429e+07 
-2.9999999999999999e-01 -5.6508889377846150e-01 +7.7361788897173955e+00 -9.6366959517934325e-01 -9.4180603631825321e+01 +8.8123562943322704e+03 +3.4287098455173708e+05 -4.6043813241093092e+07 
-4.0000000000000002e-01 -5.6508932763144959e-01 +7.7361999400314607e+00 -9.7148755363333827e-01 -9.4675333278912291e+01 +8.9812455790736731e+03 +3.4562337870200572e+05 -4.6815186499863036e+07 
-5.0000000000000000e-01 -5.6508976068450278e-01 +7.7362201164938460e+00 -9.7954508527064121e-01 -9.5120446250337267e+01 +9.1547172281628136e+03 +3.4801300747535203e+05 -4.7605437885169581e+07 
-5.9999999999999998e-01 -5.6509019321885290e-01 +7.7362393526275453e+00 -9.8774798082313464e-01 -9.5515787110462227e+01 +9.3309778569044884e+03 +3.5004320115770138e+05 -4.8406849165059507e+07 
-6.9999999999999996e-01 -5.6509062551580369e-01 +7.7362575819407660e+00 -9.9600203257850806e-01 -9.5861199984420807e+01 +9.5082341086180259e+03 +3.5171728745713114e+05 -4.9211702228101835e+07 
-8.0000000000000004e-01 -5.6509105785651326e-01 +7.7362747379490351e+00 -1.0042130301152024e+00 -9.6156529199286396e+01 +9.6846925767468620e+03 +3.5303859523635835e+05 -5.0012278723365739e+07 
-9.0000000000000002e-01 -5.6509149052220686e-01 +7.7362907541676176e+00 -1.0122867690296191e+00 -9.6401619064030399e+01 +9.8585599699804516e+03 +3.5401045323870081e+05 -5.0800860843278147e+07 
-1.0000000000000000e+00 -5.6509192379412676e-01 +7.7363055640971092e+00 -1.0201290427545056e+00 -9.6596313431669188e+01 +1.0028042955049155e+04 +3.5463618751592707e+05 -5.1569730571624570e+07 
-1.1000000000000001e+00 -5.6509235795340074e-01 +7.7363191012482488e+00 -1.0276456486147147e+00 -9.6740456424527608e+01 +1.0191348272676518e+04 +3.5491912564571388e+05 -5.2311170238232076e+07 
-1.2000000000000000e+00 -5.6509279328127759e-01 +7.7363312991171380e+00 -1.0347423828711562e+00 -9.6833891703843165e+01 +1.0346682642948967e+04 +3.5486259248568787e+05 -5.3017462067477450e+07 
-1.3000000000000000e+00 -5.6509323005887080e-01 +7.7363420911992247e+00 -1.0413250448249314e+00 -9.6876462861562842e+01 +1.0492252843888198e+04 +3.5446991240513569e+05 -5.3680888554494739e+07 
-1.3999999999999999e+00 -5.6509366856738075e-01 +7.7363514109848168e+00 -1.0472994328206131e+00 -9.6868013304067674e+01 +1.0626265630678628e+04 +3.5374440867252741e+05 -5.4293732068344742e+07 
-1.5000000000000000e+00 -5.6509410908799185e-01 +7.7363591919509478e+00 -1.0525713475445364e+00 -9.6808385984018585e+01 +1.0746927805356230e+04 +3.5268940180789947e+05 -5.4848275203388833e+07 
-1.6000000000000001e+00 -5.6509455190181623e-01 +7.7363653675770614e+00 -1.0570465912062010e+00 -9.6697423871462846e+01 +1.0852446193224154e+04 +3.5130821238013281e+05 -5.5336800643165015e+07 
-1.7000000000000000e+00 -5.6509499728994173e-01 +7.7363698713231681e+00 -1.0606309689930413e+00 -9.6534969306931202e+01 +1.0941027676406557e+04 +3.4960415722271049e+05 -5.5751591340489194e+07 
-1.8000000000000000e+00 -5.6509544553358193e-01 +7.7363726366472099e+00 -1.0632302802952491e+00 -9.6320864482627869e+01 +1.1010879022678724e+04 +3.4758055217089457e+05 -5.6084929688830547e+07 
-1.8999999999999999e+00 -5.6509589691377737e-01 +7.7363735969973275e+00 -1.0647503320743290e+00 -9.6054951235067719e+01 +1.1060207141907265e+04 +3.4524071092131687e+05 -5.6329098749668010e+07 
-2.0000000000000000e+00 -5.6509635171167616e-01 +7.7363726858046657e+00 -1.0650969311749119e+00 -9.5737070830652058e+01 +1.1087218935583722e+04 +3.4258794379521016e+05 -5.6476381523187310e+07 
-2.1000000000000001e+00 -5.6509681027281822e-01 +7.7363698785948278e+00 -1.0642065695233640e+00 -9.5368065882191175e+01 +1.1090711936635513e+04 +3.3963131200703367e+05 -5.6521608852505609e+07 
-2.2000000000000002e+00 -5.6509727319122405e-01 +7.7363653209767715e+00 -1.0621329173465197e+00 -9.4952731484487870e+01 +1.1071741147302200e+04 +3.3640205402407731e+05 -5.6469362874725565e+07 
-2.2999999999999998e+00 -5.6509774112069056e-01 +7.7363592013891953e+00 -1.0589576224718511e+00 -9.4496837025457310e+01 +1.1031901008151597e+04 +3.3293675524632074e+05 -5.6326558783233643e+07 
-2.3999999999999999e+00 -5.6509821471512423e-01 +7.7363517082708659e+00 -1.0547623297245365e+00 -9.4006151914144525e+01 +1.0972785902523025e+04 +3.2927200122741092e+05 -5.6100111502991147e+07 
-2.5000000000000000e+00 -5.6509869462835449e-01 +7.7363430300581424e+00 -1.0496286822546748e+00 -9.3486445499262658e+01 +1.0895990177833617e+04 +3.2544437715376727e+05 -5.5796935784869134e+07 
-2.6000000000000001e+00 -5.6509918151423644e-01 +7.7363333551937012e+00 -1.0436383237309550e+00 -9.2943487349353219e+01 +1.0803108192095455e+04 +3.2149046954917588e+05 -5.5423946438421592e+07 
-2.7000000000000002e+00 -5.6509967602664646e-01 +7.7363228721186266e+00 -1.0368728945661776e+00 -9.2383047008993245e+01 +1.0695734237167717e+04 +3.1744686480098142e+05 -5.4988057955210879e+07 
-2.7999999999999998e+00 -5.6510017881949637e-01 +7.7363117692814862e+00 -1.0294140309078423e+00 -9.1810894282596266e+01 +1.0575462525871886e+04 +3.1335015085658553e+05 -5.4496184466502741e+07 
-2.8999999999999999e+00 -5.6510069054669287e-01 +7.7363002351295895e+00 -1.0213433690574238e+00 -9.1232798983012799e+01 +1.0443887271261528e+04 +3.0923691576544568e+05 -5.3955240107237667e+07 
-3.0000000000000000e+00 -5.6510121186217022e-01 +7.7362884581180893e+00 -1.0127425414613105e+00 -9.0654531193925393e+01 +1.0302602609656435e+04 +3.0514374918262305e+05 -5.3372138649805188e+07 
-3.1000000000000001e+00 -5.6510174341987529e-01 +7.7362766267055418e+00 -1.0036931789907195e+00 -9.0081861156690422e+01 +1.0153202649168685e+04 +3.0110724174556206e+05 -5.2753793749749690e+07 
-3.2000000000000002e+00 -5.6510228587381039e-01 +7.7362649293598027e+00 -9.9427690535925162e-01 -8.9520559451620528e+01 +9.9972813584866908e+03 +2.9716398614943959e+05 -5.2107118402221985e+07 
-3.2999999999999998e+00 -5.6510283987797116e-01 +7.7362535545481954e+00 -9.8457534441209804e-01 -8.8976396702219503e+01 +9.8364327066353544e+03 +2.9335057538758777e+05 -5.1439025614815444e+07 
-3.3999999999999999e+00 -5.6510340608637033e-01 +7.7362426907506787e+00 -9.7467011793014791e-01 -8.8455143976987159e+01 +9.6722506239691393e+03 +2.8970360512604757e+05 -5.0756428227240577e+07 
-3.5000000000000000e+00 -5.6510398515309590e-01 +7.7362325264528264e+00 -9.6464283784978488e-01 -8.7962572593176276e+01 +9.5063288514408086e+03 +2.8625967259038897e+05 -5.0066238188548647e+07 
-3.6000000000000001e+00 -5.6510457773225897e-01 +7.7362232501491093e+00 -9.5457511640553339e-01 -8.7504454205787297e+01 +9.3402611333161913e+03 +2.8305537703380216e+05 -4.9375367474694461e+07 
-3.7000000000000002e+00 -5.6510518447793845e-01 +7.7362150503449278e+00 -9.4454855890339984e-01 -8.7086560883169625e+01 +9.1756410813160182e+03 +2.8012732022454211e+05 -4.8690727448054530e+07 
-3.7999999999999998e+00 -5.6510580604430560e-01 +7.7362081155482407e+00 -9.3464476926948503e-01 -8.6714664866613802e+01 +9.0140622786159729e+03 +2.7751210504987260e+05 -4.8019229348435305e+07 
-3.8999999999999999e+00 -5.6510644308560165e-01 +7.7362026342876282e+00 -9.2494534286514107e-01 -8.6394539104427750e+01 +8.8571181473539600e+03 +2.7524633862825128e+05 -4.7367783674340568e+07 
-4.0000000000000000e+00 -5.6510709625599953e-01 +7.7361987950960129e+00 -9.1553186975615863e-01 -8.6131956667724381e+01 +8.7064020064039742e+03 +2.7336662859358208e+05 -4.6743300464830682e+07 
-4.0999999999999996e+00 -5.6510776583694167e-01 +7.7361967461889742e+00 -9.0647106544842793e-01 -8.5931204532355721e+01 +8.5631669543291391e+03 +2.7189978474744642e+05 -4.6151163298447534e+07 
-4.2000000000000002e+00 -5.6510845074298321e-01 +7.7361964699632653e+00 -8.9777618856136210e-01 -8.5790921675217504e+01 +8.4274258279301994e+03 +2.7083633222045586e+05 -4.5591131054697894e+07 
-4.2999999999999998e+00 -5.6510914957581926e-01 +7.7361979067121718e+00 -8.8944845183099752e-01 -8.5708405559753729e+01 +8.2989082738464476e+03 +2.7015838164831034e+05 -4.5061665201232016e+07 
-4.4000000000000004e+00 -5.6510986093699445e-01 +7.7362009967379679e+00 -8.8148907276581212e-01 -8.5680953842438640e+01 +8.1773440280716131e+03 +2.6984804464491759e+05 -4.4561227626082085e+07 
-4.5000000000000000e+00 -5.6511058342820986e-01 +7.7362056803458783e+00 -8.7389926396371842e-01 -8.5705864191251834e+01 +8.0624627352075131e+03 +2.6988743273086968e+05 -4.4088279785084829e+07 
-4.5999999999999996e+00 -5.6511131565099459e-01 +7.7362118978419474e+00 -8.6668024550520428e-01 -8.5780434213950301e+01 +7.9539941804038435e+03 +2.7025865689969907e+05 -4.3641283796869904e+07 
-4.7000000000000002e+00 -5.6511205620703509e-01 +7.7362195895434027e+00 -8.5983323273424672e-01 -8.5901961759618132e+01 +7.8516680634179002e+03 +2.7094382937389554e+05 -4.3218701382626988e+07 
