# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
-0.0000000000000000e+00 -5.6468398664073083e-01 +7.7346385280877765e+00 -2.4908135222484348e-01 -2.6020710911660348e+01 -1.5196879567401245e+03 -3.9736376519012898e+04 +3.7546192737487187e+06 
-1.0000000000000001e-01 -5.6468428299855777e-01 +7.7346543761034319e+00 -2.4342383448340565e-01 -2.6338001622656005e+01 -1.5860069936859866e+03 -3.8127821014813140e+04 +3.9500141423569955e+06 
-2.0000000000000001e-01 -5.6468459290459494e-01 +7.7346700713503305e+00 -2.3817184027234173e-01 -2.6676786949710461e+01 -1.6369782814710763e+03 -3.6416771685029715e+04 +4.0603076471821903e+06 
-2.9999999999999999e-01 -5.6468491488236472e-01 +7.7346854590745568e+00 -2.3332639417262185e-01 -2.7031724398833283e+01 -1.6733274907848172e+03 -3.4630417997985656e+04 +4.0902863967022025e+06 
-4.0000000000000002e-01 -5.6468524745528048e-01 +7.7347003845161160e+00 -2.2888852739394658e-01 -2.7397471357191712e+01 -1.6957801737401458e+03 -3.2795949928761074e+04 +4.0447364519108571e+06 
-5.0000000000000000e-01 -5.6468558914688005e-01 +7.7347146929216315e+00 -2.2485926398207273e-01 -2.7768685460373860e+01 -1.7050620078561601e+03 -3.0940555844072438e+04 +3.9284444405437177e+06 
-5.9999999999999998e-01 -5.6468593848061521e-01 +7.7347282295331157e+00 -2.2123963411181014e-01 -2.8140024257541626e+01 -1.7018985593685920e+03 -2.9091424460908955e+04 +3.7461964736440498e+06 
-6.9999999999999996e-01 -5.6468629397993686e-01 +7.7347408395956574e+00 -2.1803066454894740e-01 -2.8506145408857094e+01 -1.6870154558131319e+03 -2.7275743795560269e+04 +3.5027789434884032e+06 
-8.0000000000000004e-01 -5.6468665416832786e-01 +7.7347523683540516e+00 -2.1523338477345130e-01 -2.8861706598955081e+01 -1.6611382762748090e+03 -2.5520701626797851e+04 +3.2029780216296576e+06 
-9.0000000000000002e-01 -5.6468701756923090e-01 +7.7347626610543587e+00 -2.1284882539040098e-01 -2.9201365542419172e+01 -1.6249925789171507e+03 -2.3853485581819372e+04 +2.8515797812850378e+06 
-1.0000000000000000e+00 -5.6468738270607033e-01 +7.7347715629496578e+00 -2.1087801538856082e-01 -2.9519780158156163e+01 -1.5793039570755518e+03 -2.2301282116068578e+04 +2.4533704781541317e+06 
