# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
-0.0000000000000000e+00 +8.1530000000000005e+00 +0.0000000000000000e+00 -0.0000000000000000e+00 -8.4577865653434484e-04 -5.5249168949550675e-01 -1.0676504654912938e-03
-1.0000000000000001e-01 +8.1529997163961507e+00 +0.0000000000000000e+00 -9.9999999999463796e-02 -8.4540380869234182e-04 -5.5249151117695050e-01 -1.0676831408640234e-03
-2.0000000000000001e-01 +8.1529988655856904e+00 +0.0000000000000000e+00 -1.9999999999571000e-01 -8.4507450795358742e-04 -5.5249133962888630e-01 -1.0677151021916921e-03
-2.9999999999999999e-01 +8.1529974475670297e+00 +0.0000000000000000e+00 -2.9999999998552201e-01 -8.4479492274889298e-04 -5.5249117656976665e-01 -1.0677465942573170e-03
-4.0000000000000002e-01 +8.1529954623438208e+00 +0.0000000000000000e+00 -3.9999999996568297e-01 -8.4456922174528564e-04 -5.5249102371803649e-01 -1.0677778618381044e-03
-5.0000000000000000e-01 +8.1529929099124292e+00 +0.0000000000000000e+00 -4.9999999993297400e-01 -8.4440157389115069e-04 -5.5249088279225456e-01 -1.0678091497037280e-03
-5.9999999999999998e-01 +8.1529897902728408e+00 +0.0000000000000000e+00 -5.9999999988417896e-01 -8.4429614846156522e-04 -5.5249075551103888e-01 -1.0678407026142658e-03
-6.9999999999999996e-01 +8.1529861034287006e+00 +0.0000000000000000e+00 -6.9999999981608096e-01 -8.4425711510354134e-04 -5.5249064359309030e-01 -1.0678727653182936e-03
-8.0000000000000004e-01 +8.1529818493763706e+00 +0.0000000000000000e+00 -7.9999999972546199e-01 -8.4428864388115640e-04 -5.5249054875730530e-01 -1.0679055825511448e-03
-9.0000000000000002e-01 +8.1529770281158598e+00 +0.0000000000000000e+00 -8.9999999960910604e-01 -8.4439490532087973e-04 -5.5249047272271701e-01 -1.0679393990328410e-03
-1.0000000000000000e+00 +8.1529716396507901e+00 +0.0000000000000000e+00 -9.9999999946379403e-01 -8.4458007045678802e-04 -5.5249041720852365e-01 -1.0679744594661927e-03
-1.1000000000000001e+00 +8.1529656839775306e+00 +0.0000000000000000e+00 -1.0999999992863101e+00 -8.4484443354753064e-04 -5.5249038317259147e-01 -1.0680109101376535e-03
-1.2000000000000000e+00 +8.1529591610960797e+00 +0.0000000000000000e+00 -1.1999999990734400e+00 -8.4517277983447352e-04 -5.5249036852640387e-01 -1.0680485037354336e-03
-1.3000000000000000e+00 +8.1529520710100805e+00 +0.0000000000000000e+00 -1.2999999988219599e+00 -8.4554601695336034e-04 -5.5249037041954385e-01 -1.0680868945651565e-03
-1.3999999999999999e+00 +8.1529444137122500e+00 +0.0000000000000000e+00 -1.3999999985286500e+00 -8.4594505204467149e-04 -5.5249038600128375e-01 -1.0681257369563604e-03
-1.5000000000000000e+00 +8.1529361892135093e+00 +0.0000000000000000e+00 -1.4999999981903001e+00 -8.4635079160181551e-04 -5.5249041242027530e-01 -1.0681646852682505e-03
-1.6000000000000001e+00 +8.1529273975065699e+00 +0.0000000000000000e+00 -1.5999999978037001e+00 -8.4674414131884895e-04 -5.5249044682473702e-01 -1.0682033938964233e-03
-1.7000000000000000e+00 +8.1529180385914497e+00 +0.0000000000000000e+00 -1.6999999973656199e+00 -8.4710600593866138e-04 -5.5249048636217135e-01 -1.0682415172786701e-03
-1.8000000000000000e+00 +8.1529081124681397e+00 +0.0000000000000000e+00 -1.7999999968728499e+00 -8.4741728910093432e-04 -5.5249052817933331e-01 -1.0682787099012716e-03
-1.8999999999999999e+00 +8.1528976191402798e+00 +0.0000000000000000e+00 -1.8999999963221601e+00 -8.4765889319019145e-04 -5.5249056942211106e-01 -1.0683146263051246e-03
-2.0000000000000000e+00 +8.1528865586042194e+00 +0.0000000000000000e+00 -1.9999999957103500e+00 -8.4781171918380167e-04 -5.5249060723552312e-01 -1.0683489210920874e-03
-2.1000000000000001e+00 +8.1528749308599799e+00 +0.0000000000000000e+00 -2.0999999950341901e+00 -8.4786164770480515e-04 -5.5249063920324271e-01 -1.0683812865359889e-03
-2.2000000000000002e+00 +8.1528627359111905e+00 +0.0000000000000000e+00 -2.1999999942904802e+00 -8.4781448315863117e-04 -5.5249066466713970e-01 -1.0684115653686237e-03
-2.2999999999999998e+00 +8.1528499737542006e+00 +0.0000000000000000e+00 -2.2999999934759798e+00 -8.4768101124719857e-04 -5.5249068340919127e-01 -1.0684396379040451e-03
-2.3999999999999999e+00 +8.1528366443890299e+00 +0.0000000000000000e+00 -2.3999999925874800e+00 -8.4747201800169372e-04 -5.5249069521191962e-01 -1.0684653844191415e-03
-2.5000000000000000e+00 +8.1528227478193003e+00 +0.0000000000000000e+00 -2.4999999916217801e+00 -8.4719828986501401e-04 -5.5249069985848986e-01 -1.0684886851475531e-03
-2.6000000000000001e+00 +8.1528082840413791e+00 +0.0000000000000000e+00 -2.5999999905756401e+00 -8.4687061377415715e-04 -5.5249069713288868e-01 -1.0685094202737536e-03
-2.7000000000000002e+00 +8.1527932530552807e+00 +0.0000000000000000e+00 -2.6999999894458502e+00 -8.4649977724270337e-04 -5.5249068681993851e-01 -1.0685274699268011e-03
-2.7999999999999998e+00 +8.1527776548646198e+00 +0.0000000000000000e+00 -2.7999999882291999e+00 -8.4609656844325369e-04 -5.5249066870539509e-01 -1.0685427141742660e-03
-2.8999999999999999e+00 +8.1527614894657692e+00 +0.0000000000000000e+00 -2.8999999869224702e+00 -8.4567177628979947e-04 -5.5249064257612501e-01 -1.0685550330163057e-03
-3.0000000000000000e+00 +8.1527447568587394e+00 +0.0000000000000000e+00 -2.9999999855224302e+00 -8.4523619052020744e-04 -5.5249060822012097e-01 -1.0685643063794285e-03
-3.1000000000000001e+00 +8.1527274570471508e+00 +0.0000000000000000e+00 -3.0999999840258798e+00 -8.4480057977935434e-04 -5.5249056660102280e-01 -1.0685705196549864e-03
-3.2000000000000002e+00 +8.1527095900273707e+00 +0.0000000000000000e+00 -3.1999999824295902e+00 -8.4437562571093778e-04 -5.5249052338113247e-01 -1.0685740803568207e-03
-3.2999999999999998e+00 +8.1526911557994008e+00 +0.0000000000000000e+00 -3.2999999807303602e+00 -8.4397198905152232e-04 -5.5249048539734014e-01 -1.0685755015362812e-03
-3.3999999999999999e+00 +8.1526721543668792e+00 +0.0000000000000000e+00 -3.3999999789249502e+00 -8.4360033171564249e-04 -5.5249045948658670e-01 -1.0685752962455923e-03
-3.5000000000000000e+00 +8.1526525857261696e+00 +0.0000000000000000e+00 -3.4999999770101602e+00 -8.4327131687969776e-04 -5.5249045248593920e-01 -1.0685739775389855e-03
-3.6000000000000001e+00 +8.1526324498772702e+00 +0.0000000000000000e+00 -3.5999999749827598e+00 -8.4299560906598995e-04 -5.5249047123250017e-01 -1.0685720584735034e-03
