# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
-0.0000000000000000e+00 -5.6229431368362037e-01 +7.7347280501241329e+00 -2.1291384464075316e-02 -8.4857637942979650e+01 -1.0206036490723063e+04 +3.0840594653157331e+05 +3.4494918850454271e+07 
-1.0000000000000001e-01 -5.6229407001808296e-01 +7.7347459777962673e+00 -3.4547434334038153e-02 -8.5248731434170125e+01 -9.9951771734982431e+03 +3.0976630606044800e+05 +3.3650369791048445e+07 
-2.0000000000000001e-01 -5.6229380776157012e-01 +7.7347669433140389e+00 -5.2253628230142138e-02 -8.5645095858345130e+01 -9.6969621271097258e+03 +3.1097947937484889e+05 +3.2404003233527187e+07 
-2.9999999999999999e-01 -5.6229353152063755e-01 +7.7347904132543510e+00 -7.3529683898325190e-02 -8.6042559037727841e+01 -9.3284422849968869e+03 +3.1204934951423912e+05 +3.0832605859771680e+07 
-4.0000000000000002e-01 -5.6229324590178553e-01 +7.7348158542212087e+00 -9.7495322767671172e-02 -8.6436949812357298e+01 -8.9066684952672495e+03 +3.1297980651062872e+05 +2.9012963899520155e+07 
-5.0000000000000000e-01 -5.6229295551154501e-01 +7.7348427328223703e+00 -1.2327026997875808e-01 -8.6824097234088001e+01 -8.4486915322036875e+03 +3.1377474220809492e+05 +2.7021863222553156e+07 
-5.9999999999999998e-01 -5.6229266495646124e-01 +7.7348705156664668e+00 -1.4997424582842420e-01 -8.7199830384765932e+01 -7.9715622613045498e+03 +3.1443804881971987e+05 +2.4936090135836456e+07 
-6.9999999999999996e-01 -5.6229237884302430e-01 +7.7348986693500956e+00 -1.7672697323783512e-01 -8.7559977896134612e+01 -7.4923315090334736e+03 +3.1497361570975080e+05 +2.2832430802135881e+07 
-8.0000000000000004e-01 -5.6229210177779387e-01 +7.7349266604435432e+00 -2.0264817297736601e-01 -8.7900367423510644e+01 -7.0280501544940134e+03 +3.1538532590894710e+05 +2.0787671683548514e+07 
-9.0000000000000002e-01 -5.6229183836730323e-01 +7.7349539554862714e+00 -2.2685756349913902e-01 -8.8216825418012974e+01 -6.5957691428964108e+03 +3.1567705439477682e+05 +1.8878599637518950e+07 
-1.0000000000000000e+00 -5.6229159321807021e-01 +7.7349800209711983e+00 -2.4847485997941537e-01 -8.8505176553567864e+01 -6.2125395075876359e+03 +3.1585266430867795e+05 +1.7182002038913351e+07 
-1.1000000000000001e+00 -5.6229137041860833e-01 +7.7350043874317240e+00 -2.6680779234118041e-01 -8.8761344866187869e+01 -5.8916067705142586e+03 +3.1591300302847021e+05 +1.5757411355687045e+07 
-1.2000000000000000e+00 -5.6229117197584255e-01 +7.7350268692725388e+00 -2.8191794023450806e-01 -8.8982267746388061e+01 -5.6309661583411826e+03 +3.1584908010516257e+05 +1.4595224927209025e+07 
-1.3000000000000000e+00 -5.6229099937385318e-01 +7.7350473587570345e+00 -2.9405581671154868e-01 -8.9165288164987857e+01 -5.4247927912338819e+03 +3.1564998953773372e+05 +1.3668525543519061e+07 
-1.3999999999999999e+00 -5.6229085409679358e-01 +7.7350657481255611e+00 -3.0347193575537301e-01 -8.9307748361146096e+01 -5.2672617780757191e+03 +3.1530482045020309e+05 +1.2950395955233464e+07 
-1.5000000000000000e+00 -5.6229073762865867e-01 +7.7350819296009643e+00 -3.1041681280431049e-01 -8.9406990029504399e+01 -5.1525482097475906e+03 +3.1480265818401240e+05 +1.2413918850255381e+07 
-1.6000000000000001e+00 -5.6229065145356394e-01 +7.7350957953863437e+00 -3.1514096553385224e-01 -8.9460354277067893e+01 -5.0748271386921206e+03 +3.1413258405327442e+05 +1.2032176736563155e+07 
-1.7000000000000000e+00 -5.6229059705557716e-01 +7.7351072376693999e+00 -3.1789490995828007e-01 -8.9465181778503975e+01 -5.0282736555914762e+03 +3.1328367626083212e+05 +1.1778252312279604e+07 
-1.8000000000000000e+00 -5.6229057591871390e-01 +7.7351161486217013e+00 -3.1892916822645262e-01 -8.9418812784260908e+01 -5.0070627394606890e+03 +3.1224500996713113e+05 +1.1625227744382726e+07 
-1.8999999999999999e+00 -5.6229058952695210e-01 +7.7351224203939379e+00 -3.1849426345849802e-01 -8.9318586987907025e+01 -5.0053693528787026e+03 +3.1100565646600199e+05 +1.1546185110033300e+07 
-2.0000000000000000e+00 -5.6229063936431933e-01 +7.7351259451276801e+00 -3.1684071897578570e-01 -8.9161843915199285e+01 -5.0173684593554444e+03 +3.0955468551369477e+05 +1.1514206484300148e+07 
-2.1000000000000001e+00 -5.6229072582910966e-01 +7.7351265418295743e+00 -3.1421403000318560e-01 -8.8944908427738511e+01 -5.0377390870173103e+03 +3.0787577870154957e+05 +1.1505205723521668e+07 
-2.2000000000000002e+00 -5.6229084499377247e-01 +7.7351237119654197e+00 -3.1083612908038294e-01 -8.8659494499510942e+01 -5.0632401119291299e+03 +3.0592870230010396e+05 +1.1506742863442799e+07 
-2.2999999999999998e+00 -5.6229099185349973e-01 +7.7351168713235836e+00 -3.0692218709099744e-01 -8.8296024698063164e+01 -5.0911665054220957e+03 +3.0366664810940565e+05 +1.1509370175603082e+07 
-2.3999999999999999e+00 -5.6229116140342450e-01 +7.7351054357497810e+00 -3.0268737512643512e-01 -8.7844923652431504e+01 -5.1188132634423664e+03 +3.0104282209219190e+05 +1.1503640141070789e+07 
-2.5000000000000000e+00 -5.6229134863859420e-01 +7.7350888211476763e+00 -2.9834686829489365e-01 -8.7296618113145811e+01 -5.1434753315866365e+03 +2.9801044499708444e+05 +1.1480105088225290e+07 
-2.6000000000000001e+00 -5.6229154855407815e-01 +7.7350664434919265e+00 -2.9411584203499747e-01 -8.6641537377470314e+01 -5.1624476804765491e+03 +2.9452275510685443e+05 +1.1429317566850286e+07 
-2.7000000000000002e+00 -5.6229175614487181e-01 +7.7350377188330057e+00 -2.9020947359730692e-01 -8.5870113479325710e+01 -5.1730252776690195e+03 +2.9053300964164536e+05 +1.1341830217728179e+07 
-2.7999999999999998e+00 -5.6229196640586976e-01 +7.7350020633020682e+00 -2.8684294495077467e-01 -8.4972781364068382e+01 -5.1725030354793407e+03 +2.8599448600725830e+05 +1.1208195533027260e+07 
-2.8999999999999999e+00 -5.6229217433200362e-01 +7.7349588931265210e+00 -2.8423143606539086e-01 -8.3939979402706186e+01 -5.1581759386327249e+03 +2.8086048512632988e+05 +1.1018966466038952e+07 
-3.0000000000000000e+00 -5.6229237491810147e-01 +7.7349076246252659e+00 -2.8259013127526011e-01 -8.2762149286224371e+01 -5.1273389275276422e+03 +2.7508433104115986e+05 +1.0764695886446696e+07 
-3.1000000000000001e+00 -5.6229256411661799e-01 +7.7348481293588920e+00 -2.8206065366685668e-01 -8.1438465134168212e+01 -5.0785394841810376e+03 +2.6866085485259525e+05 +1.0441067014875934e+07 
-3.2000000000000002e+00 -5.6229274168098864e-01 +7.7347820921338180e+00 -2.8250388762989137e-01 -8.0002852440550726e+01 -5.0150715830323561e+03 +2.6175145442120917e+05 +1.0063010261747355e+07 
-3.2999999999999998e+00 -5.6229290830814282e-01 +7.7347116495742920e+00 -2.8371380468820268e-01 -7.8497890236420218e+01 -4.9413519856030125e+03 +2.5455936592419262e+05 +9.6499575374847148e+06 
-3.3999999999999999e+00 -5.6229306469504658e-01 +7.7346389382526031e+00 -2.8548437851748665e-01 -7.6966155328089755e+01 -4.8617973005340464e+03 +2.4728780987041473e+05 +9.2213396165473424e+06 
-3.5000000000000000e+00 -5.6229321153891210e-01 +7.7345660946882795e+00 -2.8760956953827049e-01 -7.5450222217815096e+01 -4.7808242730354832e+03 +2.4013999037693205e+05 +8.7965874994553048e+06 
-3.6000000000000001e+00 -5.6229334953703203e-01 +7.7344952553380173e+00 -2.8988333648490155e-01 -7.3992662745676498e+01 -4.7028495498930652e+03 +2.3331909281221480e+05 +8.3951312447947282e+06 
-3.7000000000000002e+00 -5.6229347938683372e-01 +7.7344285565918742e+00 -2.9209962969628450e-01 -7.2636045910605063e+01 -4.6322898055631540e+03 +2.2702828247738210e+05 +8.0364005596190607e+06 
-3.7999999999999998e+00 -5.6229360178596088e-01 +7.7343681347688022e+00 -2.9405239332245064e-01 -7.1422937670718269e+01 -4.5735616830804192e+03 +2.2147070316503738e+05 +7.7398244623001181e+06 
-3.8999999999999999e+00 -5.6229371743217216e-01 +7.7343161261113798e+00 -2.9553556409680110e-01 -7.0395900733830786e+01 -4.5310818120747545e+03 +2.1684947569237603e+05 +7.5248313450963302e+06 
-4.0000000000000000e+00 -5.6229382702349728e-01 +7.7342746667749109e+00 -2.9634307073416760e-01 -6.9597494169906582e+01 -4.5092668108659254e+03 +2.1336769542830001e+05 +7.4108489596354831e+06 
-4.0999999999999996e+00 -5.6229393119668103e-01 +7.7342452760142137e+00 -2.9634135462371469e-01 -6.9058228207343547e+01 -4.5110076516989475e+03 +2.1117250041073028e+05 +7.4106805683421651e+06 
-4.2000000000000002e+00 -5.6229403042705617e-01 +7.7342270495371546e+00 -2.9565840241785607e-01 -6.8761302766349033e+01 -4.5336585515613833e+03 +2.1018858198485972e+05 +7.5133444037068589e+06 
-4.2999999999999998e+00 -5.6229412517058297e-01 +7.7342184870745765e+00 -2.9448051261008862e-01 -6.8678284035955556e+01 -4.5733299451599241e+03 +2.1028520837687972e+05 +7.7025904953823341e+06 
-4.4000000000000004e+00 -5.6229421588318151e-01 +7.7342180883619687e+00 -2.9299397299896018e-01 -6.8780738401245927e+01 -4.6261326149738306e+03 +2.1133164772418584e+05 +7.9621710896686744e+06 
