# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -5.9275591224794510e-01 +8.1212662297864640e+00 +2.2995964526871304e-01 +8.8176627992068131e+00 -2.5118400578034957e+03 -1.6876912039904465e+05 -1.5654163270221052e+06 
+1.0000000000000001e-01 -5.9275600225165481e-01 +8.1213012252581933e+00 +2.3035581276618403e-01 +8.0677396560898078e+00 -2.5002917581701699e+03 -1.6502343667000410e+05 -1.6248250733055947e+06 
+2.0000000000000001e-01 -5.9275609381826577e-01 +8.1213344282968780e+00 +2.3055074255749694e-01 +7.3355989126894015e+00 -2.4875838728433250e+03 -1.6132548334805769e+05 -1.6826974609516682e+06 
+2.9999999999999999e-01 -5.9275618626632542e-01 +8.1213658941526514e+00 +2.3054436961665509e-01 +6.6220201441448854e+00 -2.4736543798107396e+03 -1.5768397130094707e+05 -1.7399839615983432e+06 
+4.0000000000000002e-01 -5.9275627891451377e-01 +8.1213956780758885e+00 +2.3033663284157352e-01 +5.9277829455024369e+00 -2.4584413344840982e+03 -1.5410761160198352e+05 -1.7976346724032420e+06 
+5.0000000000000000e-01 -5.9275637108137291e-01 +8.1214238353204280e+00 +2.2992746563630756e-01 +5.2536668216439271e+00 -2.4418826917703846e+03 -1.5060511483657584e+05 -1.8566001592301708e+06 
+5.9999999999999998e-01 -5.9275646208553712e-01 +8.1214504211390626e+00 +2.2931680587848463e-01 +4.6004513326445426e+00 -2.4239164924488064e+03 -1.4718519196166209e+05 -1.9178305791045802e+06 
+6.9999999999999996e-01 -5.9275655124556004e-01 +8.1214754907863504e+00 +2.2850458904304591e-01 +3.9689160067691551e+00 -2.4044807350768119e+03 -1.4385655378455087e+05 -1.9822762784398359e+06 
+8.0000000000000004e-01 -5.9275663788000965e-01 +8.1214990995206708e+00 +2.2749074871623892e-01 +3.3598402803847449e+00 -2.3835133799870873e+03 -1.4062791059187977e+05 -2.0508877939371804e+06 
+9.0000000000000002e-01 -5.9275672130744839e-01 +8.1215213025969266e+00 +2.2627521841221163e-01 +2.7740037151312547e+00 -2.3609523913761454e+03 -1.3750797341417611e+05 -2.1246156282960773e+06 
+1.0000000000000000e+00 -5.9275680084646154e-01 +8.1215421552732003e+00 +2.2485793388783343e-01 +2.2121858086331412e+00 -2.3367357722605252e+03 -1.3450545292893186e+05 -2.2044101078394456e+06 
+1.1000000000000001e+00 -5.9275687581566083e-01 +8.1215617128056081e+00 +2.2323882757180505e-01 +1.6751661432176446e+00 -2.3108014676228418e+03 -1.3162906030547243e+05 -2.2912218200364187e+06 
+1.2000000000000000e+00 -5.9275694553351466e-01 +8.1215800304528525e+00 +2.2141783157459938e-01 +1.1637242346255874e+00 -2.2830874095996132e+03 -1.2888750625867478e+05 -2.3860014298619647e+06 
+1.3000000000000000e+00 -5.9275700931858599e-01 +8.1215971634710300e+00 +2.1939487588530882e-01 +6.7863972503762093e-01 -2.2535314977986754e+03 -1.2628950228352034e+05 -2.4896997331070774e+06 
+1.3999999999999999e+00 -5.9275706648944981e-01 +8.1216131671187863e+00 +2.1716989106163262e-01 +2.2069219970711587e-01 -2.2220716360447814e+03 -1.2384375947069054e+05 -2.6032675203579213e+06 
+1.5000000000000000e+00 -5.9275711636463457e-01 +8.1216280966487382e+00 +2.1474280906510101e-01 -2.0933854689701961e-01 -2.1886457543301335e+03 -1.2155899009854160e+05 -2.7276554553633891e+06 
+1.6000000000000001e+00 -5.9275715826263753e-01 +8.1216420073204141e+00 +2.1211355417069469e-01 -6.1067289725452101e-01 -2.1531916369458404e+03 -1.1944390534023664e+05 -2.8638148914296213e+06 
+1.7000000000000000e+00 -5.9275719150202111e-01 +8.1216549543856011e+00 +2.0928205802080208e-01 -9.8253096716297661e-01 -2.1156472051237874e+03 -1.1750721788155547e+05 -3.0126965316089829e+06 
+1.8000000000000000e+00 -5.9275721540129478e-01 +8.1216669930974934e+00 +2.0624824203535944e-01 -1.3241328833981105e+00 -2.0759501849442563e+03 -1.1575764026431450e+05 -3.1752520080127097e+06 
+1.8999999999999999e+00 -5.9275722927895558e-01 +8.1216781787073824e+00 +2.0301203202795412e-01 -1.6346986870863909e+00 -2.0340383810110279e+03 -1.1420388543097497e+05 -3.3524325841970989e+06 
+2.0000000000000000e+00 -5.9275723245355849e-01 +8.1216885664653855e+00 +1.9957335394582770e-01 -1.9134483415094810e+00 -1.9898496004121080e+03 -1.1285466670534937e+05 -3.5451895087648258e+06 
+2.1000000000000001e+00 -5.9275722458795532e-01 +8.1216982170766947e+00 +1.9593674360430571e-01 -2.1601914732379659e+00 -1.9433616458283734e+03 -1.1171427673858927e+05 -3.7541713041053605e+06 
+2.2000000000000002e+00 -5.9275720672681753e-01 +8.1217072166933288e+00 +1.9212568634921412e-01 -2.3770944653856034e+00 -1.8947162127375500e+03 -1.1076975545378601e+05 -3.9788160636050957e+06 
+2.2999999999999998e+00 -5.9275718026109148e-01 +8.1217156587280996e+00 +1.8816851500814449e-01 -2.5669125163894404e+00 -1.8440966715512714e+03 -1.1000393557399513e+05 -4.2182603552883156e+06 
