# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +8.1530000000000005e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -2.9787937327973059e-02 -5.6511964203541309e-01 +5.7540528250889780e-03
1.0000000000000001e-01 +8.1529997163961507e+00 +0.0000000000000000e+00 +9.9999999999463796e-02 -2.9787736262720840e-02 -5.6511900052707853e-01 +5.7542064972385086e-03
2.0000000000000001e-01 +8.1529988655856904e+00 +0.0000000000000000e+00 +1.9999999999571000e-01 -2.9787532569152887e-02 -5.6511837706527868e-01 +5.7543551979407446e-03
2.9999999999999999e-01 +8.1529974475670297e+00 +0.0000000000000000e+00 +2.9999999998552201e-01 -2.9787326457252586e-02 -5.6511777163355092e-01 +5.7544989629673008e-03
4.0000000000000002e-01 +8.1529954623438208e+00 +0.0000000000000000e+00 +3.9999999996568297e-01 -2.9787118136998133e-02 -5.6511718421541013e-01 +5.7546378280880252e-03
5.0000000000000000e-01 +8.1529929099124292e+00 +0.0000000000000000e+00 +4.9999999993297400e-01 -2.9786907818368579e-02 -5.6511661479444153e-01 +5.7547718290719861e-03
5.9999999999999998e-01 +8.1529897902728408e+00 +0.0000000000000000e+00 +5.9999999988417896e-01 -2.9786695711340610e-02 -5.6511606335421571e-01 +5.7549010016865812e-03
6.9999999999999996e-01 +8.1529861034287006e+00 +0.0000000000000000e+00 +6.9999999981608096e-01 -2.9786482025889557e-02 -5.6511552987828295e-01 +5.7550253816975169e-03
8.0000000000000004e-01 +8.1529818493763706e+00 +0.0000000000000000e+00 +7.9999999972546199e-01 -2.9786266971994893e-02 -5.6511501435025824e-01 +5.7551450048696799e-03
9.0000000000000002e-01 +8.1529770281158598e+00 +0.0000000000000000e+00 +8.9999999960910604e-01 -2.9786050759636896e-02 -5.6511451675373248e-01 +5.7552599069662412e-03
1.0000000000000000e+00 +8.1529716396507901e+00 +0.0000000000000000e+00 +9.9999999946379403e-01 -2.9785833598797783e-02 -5.6511403707227059e-01 +5.7553701237486312e-03
1.1000000000000001e+00 +8.1529656839775306e+00 +0.0000000000000000e+00 +1.0999999992863101e+00 -2.9785615699467125e-02 -5.6511357528949313e-01 +5.7554756909774215e-03
1.2000000000000000e+00 +8.1529591610960797e+00 +0.0000000000000000e+00 +1.1999999990734400e+00 -2.9785397271638533e-02 -5.6511313138898911e-01 +5.7555766444114184e-03
1.3000000000000000e+00 +8.1529520710100805e+00 +0.0000000000000000e+00 +1.2999999988219599e+00 -2.9785178525310808e-02 -5.6511270535431357e-01 +5.7556730198076453e-03
1.3999999999999999e+00 +8.1529444137122500e+00 +0.0000000000000000e+00 +1.3999999985286500e+00 -2.9784959670494771e-02 -5.6511229716909883e-01 +5.7557648529225182e-03
1.5000000000000000e+00 +8.1529361892135093e+00 +0.0000000000000000e+00 +1.4999999981903001e+00 -2.9784740917202762e-02 -5.6511190681682444e-01 +5.7558521795094547e-03
1.6000000000000001e+00 +8.1529273975065699e+00 +0.0000000000000000e+00 +1.5999999978037001e+00 -2.9784522475464235e-02 -5.6511153428109773e-01 +5.7559350353218290e-03
1.7000000000000000e+00 +8.1529180385914497e+00 +0.0000000000000000e+00 +1.6999999973656199e+00 -2.9784304555316624e-02 -5.6511117954545420e-01 +5.7560134561108790e-03
1.8000000000000000e+00 +8.1529081124681397e+00 +0.0000000000000000e+00 +1.7999999968728499e+00 -2.9784087366809382e-02 -5.6511084259340993e-01 +5.7560874776262788e-03
1.8999999999999999e+00 +8.1528976191402798e+00 +0.0000000000000000e+00 +1.8999999963221601e+00 -2.9783871120003604e-02 -5.6511052340843315e-01 +5.7561571356158350e-03
2.0000000000000000e+00 +8.1528865586042194e+00 +0.0000000000000000e+00 +1.9999999957103500e+00 -2.9783656024977460e-02 -5.6511022197402361e-01 +5.7562224658263628e-03
2.1000000000000001e+00 +8.1528749308599799e+00 +0.0000000000000000e+00 +2.0999999950341901e+00 -2.9783442351060327e-02 -5.6510993815330601e-01 +5.7562834904194707e-03
2.2000000000000002e+00 +8.1528627359111905e+00 +0.0000000000000000e+00 +2.1999999942904802e+00 -2.9783230604539215e-02 -5.6510967132806789e-01 +5.7563401772216336e-03
2.2999999999999998e+00 +8.1528499737542006e+00 +0.0000000000000000e+00 +2.2999999934759798e+00 -2.9783021350938143e-02 -5.6510942075981796e-01 +5.7563924804749063e-03
2.3999999999999999e+00 +8.1528366443890299e+00 +0.0000000000000000e+00 +2.3999999925874800e+00 -2.9782815155773266e-02 -5.6510918571002289e-01 +5.7564403544193175e-03
2.5000000000000000e+00 +8.1528227478193003e+00 +0.0000000000000000e+00 +2.4999999916217801e+00 -2.9782612584551511e-02 -5.6510896544010802e-01 +5.7564837532928514e-03
2.6000000000000001e+00 +8.1528082840413791e+00 +0.0000000000000000e+00 +2.5999999905756401e+00 -2.9782414202773479e-02 -5.6510875921154013e-01 +5.7565226313322998e-03
2.7000000000000002e+00 +8.1527932530552807e+00 +0.0000000000000000e+00 +2.6999999894458502e+00 -2.9782220575927606e-02 -5.6510856628574357e-01 +5.7565569427723605e-03
2.7999999999999998e+00 +8.1527776548646198e+00 +0.0000000000000000e+00 +2.7999999882291999e+00 -2.9782032269488959e-02 -5.6510838592409951e-01 +5.7565866418456089e-03
2.8999999999999999e+00 +8.1527614894657692e+00 +0.0000000000000000e+00 +2.8999999869224702e+00 -2.9781849848921935e-02 -5.6510821738802919e-01 +5.7566116827833681e-03
3.0000000000000000e+00 +8.1527447568587394e+00 +0.0000000000000000e+00 +2.9999999855224302e+00 -2.9781673879674710e-02 -5.6510805993890922e-01 +5.7566320198147907e-03
3.1000000000000001e+00 +8.1527274570471508e+00 +0.0000000000000000e+00 +3.0999999840258798e+00 -2.9781504927177672e-02 -5.6510791283807249e-01 +5.7566476071668421e-03
3.2000000000000002e+00 +8.1527095900273707e+00 +0.0000000000000000e+00 +3.1999999824295902e+00 -2.9781343556846467e-02 -5.6510777534688961e-01 +5.7566583990651650e-03
3.2999999999999998e+00 +8.1526911557994008e+00 +0.0000000000000000e+00 +3.2999999807303602e+00 -2.9781190334076162e-02 -5.6510764672668612e-01 +5.7566643497331616e-03
3.3999999999999999e+00 +8.1526721543668792e+00 +0.0000000000000000e+00 +3.3999999789249502e+00 -2.9781045824239922e-02 -5.6510752623874116e-01 +5.7566654133919745e-03
3.5000000000000000e+00 +8.1526525857261696e+00 +0.0000000000000000e+00 +3.4999999770101602e+00 -2.9780910592691851e-02 -5.6510741314437085e-01 +5.7566615442613545e-03
3.6000000000000001e+00 +8.1526324498772702e+00 +0.0000000000000000e+00 +3.5999999749827598e+00 -2.9780785204761299e-02 -5.6510730670484477e-01 +5.7566526965587492e-03
3.7000000000000002e+00 +8.1526117468238208e+00 +0.0000000000000000e+00 +3.6999999728395401e+00 -2.9780670225751461e-02 -5.6510720618138377e-01 +5.7566388244992689e-03
3.7999999999999998e+00 +8.1525904765621799e+00 +0.0000000000000000e+00 +3.7999999705772902e+00 -2.9780566220942221e-02 -5.6510711083524567e-01 +5.7566198822965702e-03
3.8999999999999999e+00 +8.1525686390959908e+00 +0.0000000000000000e+00 +3.8999999681927799e+00 -2.9780473755583067e-02 -5.6510701992761003e-01 +5.7565958241616250e-03
4.0000000000000000e+00 +8.1525462344179704e+00 +0.0000000000000000e+00 +3.9999999656827998e+00 -2.9780393394898862e-02 -5.6510693271972123e-01 +5.7565666043042103e-03
4.0999999999999996e+00 +8.1525232625354001e+00 +0.0000000000000000e+00 +4.0999999630441302e+00 -2.9780325464439057e-02 -5.6510684854171978e-01 +5.7565321868849814e-03
4.2000000000000002e+00 +8.1524997234482708e+00 +0.0000000000000000e+00 +4.1999999602735496e+00 -2.9780269331182444e-02 -5.6510676699992390e-01 +5.7564925758812717e-03
4.2999999999999998e+00 +8.1524756171529607e+00 +0.0000000000000000e+00 +4.2999999573678496e+00 -2.9780224122481908e-02 -5.6510668776973616e-01 +5.7564477852266177e-03
4.4000000000000004e+00 +8.1524509436494608e+00 +0.0000000000000000e+00 +4.3999999543238104e+00 -2.9780188965706601e-02 -5.6510661052656230e-01 +5.7563978288564894e-03
4.5000000000000000e+00 +8.1524257029377605e+00 +0.0000000000000000e+00 +4.4999999511382098e+00 -2.9780162988244891e-02 -5.6510653494584195e-01 +5.7563427207088088e-03
4.5999999999999996e+00 +8.1523998950215208e+00 +0.0000000000000000e+00 +4.5999999478078299e+00 -2.9780145317504409e-02 -5.6510646070302228e-01 +5.7562824747238693e-03
4.7000000000000002e+00 +8.1523735198970808e+00 +0.0000000000000000e+00 +4.6999999443294600e+00 -2.9780135080917921e-02 -5.6510638747364617e-01 +5.7562171048454649e-03
4.7999999999999998e+00 +8.1523465775644599e+00 +0.0000000000000000e+00 +4.7999999406998803e+00 -2.9780131405940432e-02 -5.6510631493326935e-01 +5.7561466250202050e-03
