# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
-0.0000000000000000e+00 +8.1530000000000005e+00 +0.0000000000000000e+00 -0.0000000000000000e+00 -2.9536976529725055e-02 -5.6505848036780271e-01 +5.6623802065710171e-03
-1.0000000000000001e-01 +8.1529997163961507e+00 +0.0000000000000000e+00 -9.9999999999463796e-02 -2.9536900052064888e-02 -5.6505866754650569e-01 +5.6623077187745088e-03
-2.0000000000000001e-01 +8.1529988655856904e+00 +0.0000000000000000e+00 -1.9999999999571000e-01 -2.9536833857912222e-02 -5.6505886281902229e-01 +5.6622351259570059e-03
-2.9999999999999999e-01 +8.1529974475670297e+00 +0.0000000000000000e+00 -2.9999999998552201e-01 -2.9536777196186158e-02 -5.6505906618300206e-01 +5.6621625084274747e-03
-4.0000000000000002e-01 +8.1529954623438208e+00 +0.0000000000000000e+00 -3.9999999996568297e-01 -2.9536729315805123e-02 -5.6505927763607200e-01 +5.6620899464936095e-03
-5.0000000000000000e-01 +8.1529929099124292e+00 +0.0000000000000000e+00 -4.9999999993297400e-01 -2.9536689465693055e-02 -5.6505949717593040e-01 +5.6620175204631362e-03
-5.9999999999999998e-01 +8.1529897902728408e+00 +0.0000000000000000e+00 -5.9999999988417896e-01 -2.9536656894776244e-02 -5.6505972480025957e-01 +5.6619453106432878e-03
-6.9999999999999996e-01 +8.1529861034287006e+00 +0.0000000000000000e+00 -6.9999999981608096e-01 -2.9536630851984477e-02 -5.6505996050672158e-01 +5.6618733973411292e-03
-8.0000000000000004e-01 +8.1529818493763706e+00 +0.0000000000000000e+00 -7.9999999972546199e-01 -2.9536610586256694e-02 -5.6506020429304116e-01 +5.6618018608647503e-03
-9.0000000000000002e-01 +8.1529770281158598e+00 +0.0000000000000000e+00 -8.9999999960910604e-01 -2.9536595346537700e-02 -5.6506045615691647e-01 +5.6617307815227287e-03
-1.0000000000000000e+00 +8.1529716396507901e+00 +0.0000000000000000e+00 -9.9999999946379403e-01 -2.9536584381779415e-02 -5.6506071609601827e-01 +5.6616602396244694e-03
-1.1000000000000001e+00 +8.1529656839775306e+00 +0.0000000000000000e+00 -1.0999999992863101e+00 -2.9536576940946496e-02 -5.6506098410806915e-01 +5.6615903154813799e-03
-1.2000000000000000e+00 +8.1529591610960797e+00 +0.0000000000000000e+00 -1.1999999990734400e+00 -2.9536572273013064e-02 -5.6506126019075764e-01 +5.6615210894063539e-03
-1.3000000000000000e+00 +8.1529520710100805e+00 +0.0000000000000000e+00 -1.2999999988219599e+00 -2.9536569626963938e-02 -5.6506154434173328e-01 +5.6614526417140890e-03
-1.3999999999999999e+00 +8.1529444137122500e+00 +0.0000000000000000e+00 -1.3999999985286500e+00 -2.9536568251801697e-02 -5.6506183655871878e-01 +5.6613850527225699e-03
-1.5000000000000000e+00 +8.1529361892135093e+00 +0.0000000000000000e+00 -1.4999999981903001e+00 -2.9536567396536130e-02 -5.6506213683927975e-01 +5.6613184027511053e-03
-1.6000000000000001e+00 +8.1529273975065699e+00 +0.0000000000000000e+00 -1.5999999978037001e+00 -2.9536566310200119e-02 -5.6506244518110382e-01 +5.6612527721235113e-03
-1.7000000000000000e+00 +8.1529180385914497e+00 +0.0000000000000000e+00 -1.6999999973656199e+00 -2.9536564241840545e-02 -5.6506276158179958e-01 +5.6611882411664437e-03
-1.8000000000000000e+00 +8.1529081124681397e+00 +0.0000000000000000e+00 -1.7999999968728499e+00 -2.9536560440522414e-02 -5.6506308603895150e-01 +5.6611248902103022e-03
-1.8999999999999999e+00 +8.1528976191402798e+00 +0.0000000000000000e+00 -1.8999999963221601e+00 -2.9536554155328649e-02 -5.6506341855008857e-01 +5.6610627995892756e-03
