# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +8.1529999999999987e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -3.0792262288098494e-02 -5.9279935067173661e-01 +5.8989024889280614e-03
1.0000000000000001e-01 +8.1529997168153585e+00 +0.0000000000000000e+00 +9.9999999999465378e-02 -3.0792310162403951e-02 -5.9279908199807074e-01 +5.8988131948680394e-03
2.0000000000000001e-01 +8.1529988672616085e+00 +0.0000000000000000e+00 +1.9999999999572299e-01 -3.0792377463834186e-02 -5.9279881460806749e-01 +5.8987236200837394e-03
3.0000000000000004e-01 +8.1529974513390044e+00 +0.0000000000000000e+00 +2.9999999998556515e-01 -3.0792462749709287e-02 -5.9279854886604111e-01 +5.8986338783487248e-03
4.0000000000000002e-01 +8.1529954690477986e+00 +0.0000000000000000e+00 +3.9999999996578411e-01 -3.0792564577352678e-02 -5.9279828513628441e-01 +5.8985440834370389e-03
5.0000000000000000e-01 +8.1529929203882450e+00 +0.0000000000000000e+00 +4.9999999993317212e-01 -3.0792681504092048e-02 -5.9279802378306989e-01 +5.8984543491230812e-03
5.9999999999999998e-01 +8.1529898053605923e+00 +0.0000000000000000e+00 +5.9999999988452146e-01 -3.0792812087260150e-02 -5.9279776517065419e-01 +5.8983647891814586e-03
6.9999999999999996e-01 +8.1529861239650891e+00 +0.0000000000000000e+00 +6.9999999981662442e-01 -3.0792954884195669e-02 -5.9279750966327727e-01 +5.8982755173868535e-03
7.9999999999999993e-01 +8.1529818762019772e+00 +0.0000000000000000e+00 +7.9999999972627334e-01 -3.0793108452244086e-02 -5.9279725762516589e-01 +5.8981866475138903e-03
8.9999999999999991e-01 +8.1529770620714999e+00 +0.0000000000000000e+00 +8.9999999961026045e-01 -3.0793271348758491e-02 -5.9279700942053504e-01 +5.8980982933370032e-03
9.9999999999999989e-01 +8.1529716815738933e+00 +0.0000000000000000e+00 +9.9999999946537799e-01 -3.0793442131100458e-02 -5.9279676541358850e-01 +5.8980105686302882e-03
1.0999999999999999e+00 +8.1529657347093902e+00 +0.0000000000000000e+00 +1.0999999992884184e+00 -3.0793619356640919e-02 -5.9279652596852295e-01 +5.8979235871673939e-03
