# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +8.1529999999999987e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
-1.0000000000000001e-01 +8.1529997169678712e+00 +0.0000000000000000e+00 -9.9999999999465961e-02 +5.6606430262703133e-06 +0.0000000000000000e+00 +9.9999999998397859e-01
-2.0000000000000001e-01 +8.1529988678712932e+00 +0.0000000000000000e+00 -1.9999999999572765e-01 +1.1321289015251861e-05 +0.0000000000000000e+00 +9.9999999993591426e-01
-3.0000000000000004e-01 +8.1529974527099682e+00 +0.0000000000000000e+00 -2.9999999998558075e-01 +1.6981937999354512e-05 +0.0000000000000000e+00 +9.9999999985580690e-01
-4.0000000000000002e-01 +8.1529954714835942e+00 +0.0000000000000000e+00 -3.9999999996582092e-01 +2.2642590002686421e-05 +0.0000000000000000e+00 +9.9999999974365661e-01
-5.0000000000000000e-01 +8.1529929241918673e+00 +0.0000000000000000e+00 -4.9999999993324395e-01 +2.8303245041053986e-05 +0.0000000000000000e+00 +9.9999999959946317e-01
-5.9999999999999998e-01 +8.1529898108344838e+00 +0.0000000000000000e+00 -5.9999999988464547e-01 +3.3963903121961764e-05 +0.0000000000000000e+00 +9.9999999942322670e-01
-6.9999999999999996e-01 +8.1529861314111400e+00 +0.0000000000000000e+00 -6.9999999981682115e-01 +3.9624564244612390e-05 +0.0000000000000000e+00 +9.9999999921494698e-01
-7.9999999999999993e-01 +8.1529818859215322e+00 +0.0000000000000000e+00 -7.9999999972656677e-01 +4.5285228399906495e-05 +0.0000000000000000e+00 +9.9999999897462410e-01
-8.9999999999999991e-01 +8.1529770743653582e+00 +0.0000000000000000e+00 -8.9999999961067789e-01 +5.0945895570442635e-05 +0.0000000000000000e+00 +9.9999999870225798e-01
-9.9999999999999989e-01 +8.1529716967423180e+00 +0.0000000000000000e+00 -9.9999999946595031e-01 +5.6606565730517174e-05 +0.0000000000000000e+00 +9.9999999839784848e-01
-1.0999999999999999e+00 +8.1529657530521131e+00 +0.0000000000000000e+00 -1.0999999992891796e+00 +6.2267238846124186e-05 +0.0000000000000000e+00 +9.9999999806139561e-01
-1.2000000000000000e+00 +8.1529592432944504e+00 +0.0000000000000000e+00 -1.1999999990771613e+00 +6.7927914874955364e-05 +0.0000000000000000e+00 +9.9999999769289927e-01
-1.3000000000000000e+00 +8.1529521674690422e+00 +0.0000000000000000e+00 -1.2999999988266913e+00 +7.3588593766399886e-05 +0.0000000000000000e+00 +9.9999999729235955e-01
-1.4000000000000001e+00 +8.1529445255756041e+00 +0.0000000000000000e+00 -1.3999999985345650e+00 +7.9249275461544308e-05 +0.0000000000000000e+00 +9.9999999685977625e-01
-1.5000000000000002e+00 +8.1529363176138592e+00 +0.0000000000000000e+00 -1.4999999981975782e+00 +8.4909959893172417e-05 +0.0000000000000000e+00 +9.9999999639514947e-01
-1.6000000000000003e+00 +8.1529275435835373e+00 +0.0000000000000000e+00 -1.5999999978125268e+00 +9.0570646985765129e-05 +0.0000000000000000e+00 +9.9999999589847910e-01
-1.7000000000000004e+00 +8.1529182034843757e+00 +0.0000000000000000e+00 -1.6999999973762061e+00 +9.6231336655500332e-05 +0.0000000000000000e+00 +9.9999999536976503e-01
-1.8000000000000005e+00 +8.1529082973161220e+00 +0.0000000000000000e+00 -1.7999999968854117e+00 +1.0189202881025275e-04 +0.0000000000000000e+00 +9.9999999480900736e-01
-1.9000000000000006e+00 +8.1528978250785329e+00 +0.0000000000000000e+00 -1.8999999963369394e+00 +1.0755272334959378e-04 +0.0000000000000000e+00 +9.9999999421620600e-01
-2.0000000000000004e+00 +8.1528867867713757e+00 +0.0000000000000000e+00 -1.9999999957275847e+00 +1.1321342016479135e-04 +0.0000000000000000e+00 +9.9999999359136094e-01
-2.1000000000000005e+00 +8.1528751823944283e+00 +0.0000000000000000e+00 -2.0999999950541435e+00 +1.1887411913985406e-04 +0.0000000000000000e+00 +9.9999999293447206e-01
-2.2000000000000006e+00 +8.1528630119474794e+00 +0.0000000000000000e+00 -2.1999999943134112e+00 +1.2453482016301870e-04 +0.0000000000000000e+00 +9.9999999224553948e-01
-2.3000000000000007e+00 +8.1528502754303300e+00 +0.0000000000000000e+00 -2.2999999935021833e+00 +1.3019552313823786e-04 +0.0000000000000000e+00 +9.9999999152456309e-01
-2.4000000000000008e+00 +8.1528369728427883e+00 +0.0000000000000000e+00 -2.3999999926172557e+00 +1.3585622798622436e-04 +0.0000000000000000e+00 +9.9999999077154289e-01
-2.5000000000000009e+00 +8.1528231041846713e+00 +0.0000000000000000e+00 -2.4999999916554239e+00 +1.4151693464445133e-04 +0.0000000000000000e+00 +9.9999998998647888e-01
-2.6000000000000010e+00 +8.1528086694557995e+00 +0.0000000000000000e+00 -2.5999999906134832e+00 +1.4717764306715239e-04 +0.0000000000000000e+00 +9.9999998916937094e-01
-2.7000000000000011e+00 +8.1527936686559990e+00 +0.0000000000000000e+00 -2.6999999894882296e+00 +1.5283835322532180e-04 +0.0000000000000000e+00 +9.9999998832021908e-01
-2.8000000000000012e+00 +8.1527781017850973e+00 +0.0000000000000000e+00 -2.7999999882764586e+00 +1.5849906510671460e-04 +0.0000000000000000e+00 +9.9999998743902341e-01
-2.9000000000000012e+00 +8.1527619688429205e+00 +0.0000000000000000e+00 -2.8999999869749660e+00 +1.6415977871584692e-04 +0.0000000000000000e+00 +9.9999998652578370e-01
-3.0000000000000013e+00 +8.1527452698292961e+00 +0.0000000000000000e+00 -2.9999999855805473e+00 +1.6982049407399607e-04 +0.0000000000000000e+00 +9.9999998558050007e-01
-3.1000000000000014e+00 +8.1527280047440467e+00 +0.0000000000000000e+00 -3.0999999840899979e+00 +1.7548121121920086e-04 +0.0000000000000000e+00 +9.9999998460317241e-01
-3.2000000000000015e+00 +8.1527101735869909e+00 +0.0000000000000000e+00 -3.1999999825001137e+00 +1.8114193020626193e-04 +0.0000000000000000e+00 +9.9999998359380071e-01
-3.3000000000000016e+00 +8.1526917763579423e+00 +0.0000000000000000e+00 -3.2999999808076899e+00 +1.8680265110674197e-04 +0.0000000000000000e+00 +9.9999998255238487e-01
-3.4000000000000017e+00 +8.1526728130567037e+00 +0.0000000000000000e+00 -3.3999999790095226e+00 +1.9246337400896603e-04 +0.0000000000000000e+00 +9.9999998147892488e-01
-3.5000000000000018e+00 +8.1526532836830707e+00 +0.0000000000000000e+00 -3.4999999771024068e+00 +1.9812409901802193e-04 +0.0000000000000000e+00 +9.9999998037342075e-01
-3.6000000000000019e+00 +8.1526331882368268e+00 +0.0000000000000000e+00 -3.5999999750831386e+00 +2.0378482625576057e-04 +0.0000000000000000e+00 +9.9999997923587236e-01
-3.7000000000000020e+00 +8.1526125267177409e+00 +0.0000000000000000e+00 -3.6999999729485133e+00 +2.0944555586079633e-04 +0.0000000000000000e+00 +9.9999997806627960e-01
-3.8000000000000020e+00 +8.1525912991255698e+00 +0.0000000000000000e+00 -3.7999999706953265e+00 +2.1510628798850751e-04 +0.0000000000000000e+00 +9.9999997686464248e-01
-3.9000000000000021e+00 +8.1525695054600522e+00 +0.0000000000000000e+00 -3.8999999683203739e+00 +2.2076702281103675e-04 +0.0000000000000000e+00 +9.9999997563096088e-01
-4.0000000000000018e+00 +8.1525471457209111e+00 +0.0000000000000000e+00 -3.9999999658204506e+00 +2.2642776051729141e-04 +0.0000000000000000e+00 +9.9999997436523469e-01
-4.1000000000000014e+00 +8.1525242199078463e+00 +0.0000000000000000e+00 -4.0999999631923529e+00 +2.3208850131176543e-04 +0.0000000000000000e+00 +9.9999997306746380e-01
-4.2000000000000011e+00 +8.1525007280205397e+00 +0.0000000000000000e+00 -4.1999999604328755e+00 +2.3774924540157313e-04 +0.0000000000000000e+00 +9.9999997173764810e-01
-4.3000000000000007e+00 +8.1524766700586504e+00 +0.0000000000000000e+00 -4.2999999575388141e+00 +2.4340999298348289e-04 +0.0000000000000000e+00 +9.9999997037578758e-01
-4.4000000000000004e+00 +8.1524520460218213e+00 +0.0000000000000000e+00 -4.3999999545069644e+00 +2.4907074424273851e-04 +0.0000000000000000e+00 +9.9999996898188204e-01
