# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -5.3709182369491859e-01 +7.3448651599332884e+00 +1.2192496012264839e-01 +1.2003664336366278e+01 -1.6032152557355623e+04 -3.4209515902265866e+05 +6.9340649302106783e+07 
-1.0000000000000001e-01 -5.3709193242992537e-01 +7.3448438810042340e+00 +1.2319925507499967e-01 +1.2489259486601352e+01 -1.6064775836556670e+04 -3.4424308608207118e+05 +6.9507887210724220e+07 
-2.0000000000000001e-01 -5.3709205087594414e-01 +7.3448245755982660e+00 +1.2443733894578833e-01 +1.2926947294968219e+01 -1.6096211097659714e+04 -3.4624161596883956e+05 +6.9669559775052294e+07 
-3.0000000000000004e-01 -5.3709217825931177e-01 +7.3448071374321238e+00 +1.2563138870031759e-01 +1.3319813375072453e+01 -1.6126418039680246e+04 -3.4810349520093331e+05 +6.9825540447805777e+07 
-4.0000000000000002e-01 -5.3709231380637690e-01 +7.3447914602206854e+00 +1.2677358249981963e-01 +1.3670943398182317e+01 -1.6155356379989140e+04 -3.4984147065635386e+05 +6.9975702762354478e+07 
-5.0000000000000000e-01 -5.3709245674347950e-01 +7.3447774376820183e+00 +1.2785609680748133e-01 +1.3983422934258163e+01 -1.6182985794565075e+04 -3.5146828860565770e+05 +7.0119920033996031e+07 
-5.9999999999999998e-01 -5.3709260629699673e-01 +7.3447649635329215e+00 +1.2887111232423903e-01 +1.4260337590639207e+01 -1.6209266033401589e+04 -3.5299669554520276e+05 +7.0258065915475979e+07 
-6.9999999999999996e-01 -5.3709276169325826e-01 +7.3447539314932966e+00 +1.2981080385500882e-01 +1.4504772904015310e+01 -1.6234156732301759e+04 -3.5443943761883507e+05 +7.0390013514256939e+07 
-7.9999999999999993e-01 -5.3709292215863924e-01 +7.3447442352787764e+00 +1.3066735110389210e-01 +1.4719814512217738e+01 -1.6257617612779770e+04 -3.5580926149049599e+05 +7.0515636330289140e+07 
-8.9999999999999991e-01 -5.3709308691949786e-01 +7.3447357686091834e+00 +1.3143293173433271e-01 +1.4908547964944466e+01 -1.6279608354639893e+04 -3.5711891340522782e+05 +7.0634807657956526e+07 
-9.9999999999999989e-01 -5.3709325520219431e-01 +7.3447284252023346e+00 +1.3209972322438321e-01 +1.5074058858414976e+01 -1.6300088629280817e+04 -3.5838113983215648e+05 +7.0747400742368937e+07 
-1.0999999999999999e+00 -5.3709342623308898e-01 +7.3447220987782300e+00 +1.3265990299442679e-01 +1.5219432746670105e+01 -1.6319018106542520e+04 -3.5960868704903842e+05 +7.0853288824027821e+07 
-1.2000000000000000e+00 -5.3709359923854272e-01 +7.3447166830578290e+00 +1.3310564781790196e-01 +1.5347755159019922e+01 -1.6336356437017446e+04 -3.6081430118194420e+05 +7.0952345033859551e+07 
-1.3000000000000000e+00 -5.3709377344491160e-01 +7.3447120717592416e+00 +1.3342913440601287e-01 +1.5462111731533351e+01 -1.6352063273951193e+04 -3.6201072902607574e+05 +7.1044442529837176e+07 
-1.4000000000000001e+00 -5.3709394807856181e-01 +7.3447081586077534e+00 +1.3362253985905889e-01 +1.5565587892708495e+01 -1.6366098271699468e+04 -3.6321071615497814e+05 +7.1129454460123494e+07 
-1.5000000000000002e+00 -5.3709412236584253e-01 +7.3447048373239481e+00 +1.3367803945833207e-01 +1.5661269238174784e+01 -1.6378421052167410e+04 -3.6442700917244499e+05 +7.1207253825955823e+07 
-1.6000000000000003e+00 -5.3709429553310173e-01 +7.3447020016328333e+00 +1.3358780776652404e-01 +1.5752241247437805e+01 -1.6388991220898901e+04 -3.6567235401562566e+05 +7.1277713546361879e+07 
-1.7000000000000004e+00 -5.3709446680669803e-01 +7.3446995452549997e+00 +1.3334402107279941e-01 +1.5841589548955929e+01 -1.6397768420366687e+04 -3.6695949751192593e+05 +7.1340706728975371e+07 
-1.8000000000000005e+00 -5.3709463541295788e-01 +7.3446973619208880e+00 +1.3293885089450261e-01 +1.5932399508183082e+01 -1.6404712198455010e+04 -3.6830118499474763e+05 +7.1396106022566110e+07 
-1.9000000000000006e+00 -5.3709480057824155e-01 +7.3446953453548005e+00 +1.3236447346273178e-01 +1.6027756690990095e+01 -1.6409782198693236e+04 -3.6971016298420593e+05 +7.1443784549392104e+07 
-2.0000000000000004e+00 -5.3709496152886294e-01 +7.3446933892847586e+00 +1.3161305868947995e-01 +1.6130746584135455e+01 -1.6412937942583900e+04 -3.7119917758170905e+05 +7.1483614847020239e+07 
-2.1000000000000005e+00 -5.3709511774718810e-01 +7.3446913901403645e+00 +1.3067522000096124e-01 +1.6243934370596463e+01 -1.6414058560169055e+04 -3.7277731666559691e+05 +7.1515089533076197e+07 
-2.2000000000000006e+00 -5.3709526974192567e-01 +7.3446892599967670e+00 +1.2953560263573619e-01 +1.6367741566777468e+01 -1.6412700561949052e+04 -3.7443888923874375e+05 +7.1536161870864391e+07 
-2.3000000000000007e+00 -5.3709541827893170e-01 +7.3446869160736359e+00 +1.2817742369789942e-01 +1.6502037168575374e+01 -1.6408339561544959e+04 -3.7617446705276001e+05 +7.1544395611943394e+07 
-2.4000000000000008e+00 -5.3709556412402559e-01 +7.3446842755839308e+00 +1.2658389720021843e-01 +1.6646690336227170e+01 -1.6400451121824455e+04 -3.7797462277245283e+05 +7.1537354276584536e+07 
-2.5000000000000009e+00 -5.3709570804305207e-01 +7.3446812557466394e+00 +1.2473824020373851e-01 +1.6801570000248365e+01 -1.6388510865145628e+04 -3.7982992762973026e+05 +7.1512601666149735e+07 
-2.6000000000000010e+00 -5.3709585080183875e-01 +7.3446777737852686e+00 +1.2262366885144074e-01 +1.6966544923574855e+01 -1.6371994404841260e+04 -3.8173095184418873e+05 +7.1467701550050661e+07 
-2.7000000000000011e+00 -5.3709599316622492e-01 +7.3446737469203063e+00 +1.2022340175233050e-01 +1.7141483884966419e+01 -1.6350377409216308e+04 -3.8366826559427415e+05 +7.1400217970390230e+07 
-2.8000000000000012e+00 -5.3709613590201799e-01 +7.3446690923763400e+00 +1.1752065441073382e-01 +1.7326255502131133e+01 -1.6323135493396619e+04 -3.8563243807726511e+05 +7.1307714718885109e+07 
-2.9000000000000012e+00 -5.3709627977505958e-01 +7.3446637273807713e+00 +1.1449864735357840e-01 +1.7520728227177187e+01 -1.6289744375828046e+04 -3.8761403737890936e+05 +7.1187756088450909e+07 
-3.0000000000000013e+00 -5.3709642555115311e-01 +7.3446575691657490e+00 +1.1114059790336260e-01 +1.7724770316835556e+01 -1.6249679724380627e+04 -3.8960363037638954e+05 +7.1037906143280521e+07 
-3.1000000000000014e+00 -5.3709657399612665e-01 +7.3446505349641846e+00 +1.0742972750014905e-01 +1.7938249925781058e+01 -1.6202417293818062e+04 -3.9159178322578571e+05 +7.0855729369330406e+07 
-3.2000000000000015e+00 -5.3709672587578861e-01 +7.3446425420088319e+00 +1.0334925650580842e-01 +1.8161035122800392e+01 -1.6147432828602536e+04 -3.9356906143001124e+05 +7.0638790214509740e+07 
-3.3000000000000016e+00 -5.3709688195595973e-01 +7.3446335075398350e+00 +9.8882408141491684e-02 +1.8392993688865200e+01 -1.6084202138981322e+04 -3.9552602873033291e+05 +7.0384653453754738e+07 
-3.4000000000000017e+00 -5.3709704300242589e-01 +7.3446233487970547e+00 +9.4012402699303124e-02 +1.8633993306013011e+01 -1.6012200989511002e+04 -3.9745324810336059e+05 +7.0090883651924059e+07 
-3.5000000000000018e+00 -5.3709720978101372e-01 +7.3446119830258310e+00 +8.8722467309777564e-02 +1.8883901410054541e+01 -1.5930905288345704e+04 -3.9934128097832872e+05 +6.9755046075121790e+07 
-3.6000000000000019e+00 -5.3709738305750243e-01 +7.3445993274728414e+00 +8.2995824613728966e-02 +1.9142585288541987e+01 -1.5839790869721097e+04 -4.0118068774428952e+05 +6.9374705647037506e+07 
-3.7000000000000020e+00 -5.3709756359769345e-01 +7.3445852993899212e+00 +7.6815701830693056e-02 +1.9409911970261579e+01 -1.5738333668222442e+04 -4.0296202712073392e+05 +6.8947427783656031e+07 
-3.8000000000000020e+00 -5.3709775216739086e-01 +7.3445698160295976e+00 +7.0165328346140601e-02 +1.9685748355722133e+01 -1.5626009674988078e+04 -4.0467585691777506e+05 +6.8470778188956022e+07 
-3.9000000000000021e+00 -5.3709794953237333e-01 +7.3445527946511566e+00 +6.3027932165082790e-02 +1.9969961018257745e+01 -1.5502294867010532e+04 -4.0631273283376230e+05 +6.7942322507462919e+07 
-4.0000000000000018e+00 -5.3709815645842607e-01 +7.3445341525134618e+00 +5.5386744441214164e-02 +2.0262416430947269e+01 -1.5366665299951481e+04 -4.0786320983674476e+05 +6.7359626783225909e+07 
-4.1000000000000014e+00 -5.3709837355898005e-01 +7.3445138682844870e+00 +4.7240079732960689e-02 +2.0562366894247656e+01 -1.5218922442507550e+04 -4.0931763055552507e+05 +6.6721680016176626e+07 
-4.2000000000000011e+00 -5.3709860083477157e-01 +7.3444921519028146e+00 +3.8644495839212395e-02 +2.0866826029332259e+01 -1.5060143894611119e+04 -4.1066594750989991e+05 +6.6033111379012272e+07 
-4.3000000000000007e+00 -5.3709883813261394e-01 +7.3444692675553167e+00 +2.9670623461864137e-02 +2.1172304160477022e+01 -1.4891720498185312e+04 -4.1189815067472303e+05 +6.5299949077104099e+07 
-4.4000000000000004e+00 -5.3709908529936801e-01 +7.3444454794190381e+00 +2.0389097905383412e-02 +2.1475311935901324e+01 -1.4715043176913381e+04 -4.1300423187652155e+05 +6.4528221698031478e+07 
-4.5000000000000000e+00 -5.3709934218190059e-01 +7.3444210516646784e+00 +1.0870553124576439e-02 +2.1772360235181903e+01 -1.4531502817065164e+04 -4.1397418427818274e+05 +6.3723957629454158e+07 
