fieldmap_name:      	B2-042
timestamp:          	2018-11-28_15-23-22
filename:           	2018-11-28_B2-042_Hall_X=-64_28mm_Z=-1200_1200mm_Imc=421.9A_ID=665.dat
nr_magnets:         	1
magnet_name:        	B2-042
gap[mm]:            	39
control_gap[mm]:    	--
magnet_length[mm]:  	1216.7
current_main[A]:    	421.9
nr_turns_main:      	24
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
---------------------------------------------------------------------------------------------
-64.000	-55.340	-1200.000	-4.3014596166e-08	2.6651004662e-07	-1.4335671996e-07
-60.000	-55.340	-1200.000	3.2683499299e-07	-1.3438541519e-07	1.1300211781e-08
-56.000	-55.340	-1200.000	7.4971743159e-08	-7.1501596412e-07	3.7610621847e-08
-52.000	-55.340	-1200.000	-5.8205208895e-08	2.4444013425e-07	-5.7227094863e-08
-48.000	-55.340	-1200.000	-4.8438422432e-07	-2.8331705192e-07	-1.3061284489e-07
-44.000	-55.340	-1200.000	6.8473204979e-09	-2.3934266805e-08	4.3667362131e-07
-40.000	-55.340	-1200.000	-1.8605481075e-07	-1.0831638032e-07	-7.9038282072e-08
-36.000	-55.340	-1200.000	-9.4353031174e-09	-4.3103352044e-07	-3.2129885163e-07
-32.000	-55.340	-1200.000	-1.4346499238e-07	4.8151282743e-08	3.8723346556e-07
-28.000	-55.340	-1200.000	1.7406085663e-07	1.0308951221e-07	2.1310255547e-08
-24.000	-55.340	-1200.000	-4.0014581957e-07	-1.6521353643e-08	-1.1492113117e-06
-20.000	-55.340	-1200.000	-1.8190025454e-08	2.3372154752e-09	8.5278387898e-07
-16.000	-55.340	-1200.000	-3.4515749534e-07	5.7092589218e-08	-7.0265419846e-07
-12.000	-55.340	-1200.000	-9.3064592563e-08	-2.1868045455e-07	-3.7428977228e-09
-8.000	-55.340	-1200.000	3.4894989135e-07	2.5183152075e-07	-9.9965899487e-08
-4.000	-55.340	-1200.000	-2.2229337006e-07	7.2320649769e-08	-4.9513283734e-07
0.000	-55.340	-1200.000	-7.6933232689e-08	1.7490295503e-08	-1.3006278751e-07
4.000	-55.340	-1200.000	-1.8983351051e-07	-3.0184788359e-07	-5.4706764544e-08
8.000	-55.340	-1200.000	3.7019391715e-08	9.6350698144e-08	7.9960296532e-07
12.000	-55.340	-1200.000	2.6078996192e-08	2.6153738669e-07	-1.8236841942e-07
16.000	-55.340	-1200.000	2.0436149596e-08	-5.0444961142e-08	-5.1690535694e-08
20.000	-55.340	-1200.000	-1.5275456171e-09	8.5947271463e-08	-1.5827252454e-08
24.000	-55.340	-1200.000	-2.7344349807e-07	-8.6722473331e-08	1.4276064114e-07
28.000	-55.340	-1200.000	-2.1446265344e-07	-3.6121504328e-07	5.1105885375e-07
-64.000	-55.340	-1198.000	1.2744788331e-08	4.5504373513e-07	1.0493431820e-07
-60.000	-55.340	-1198.000	-3.4542205542e-08	-3.8074746958e-08	7.0534077281e-08
-56.000	-55.340	-1198.000	9.4584487126e-08	-7.6114107965e-07	-8.7427297599e-08
-52.000	-55.340	-1198.000	-1.2171004235e-08	1.6090336569e-07	2.2818068590e-07
-48.000	-55.340	-1198.000	7.0210980525e-08	-4.8119307187e-07	-2.4758209070e-07
-44.000	-55.340	-1198.000	1.7466110885e-07	1.0853636349e-07	5.2289408382e-07
-40.000	-55.340	-1198.000	-1.0023990873e-07	-3.1768739822e-07	-1.8635688548e-07
-36.000	-55.340	-1198.000	8.1883938591e-08	-1.5772648930e-07	-4.4549952410e-07
-32.000	-55.340	-1198.000	2.3753561612e-07	1.4923288910e-07	1.5041373528e-07
-28.000	-55.340	-1198.000	-4.8076098510e-08	6.5127840726e-09	5.1764887325e-08
-24.000	-55.340	-1198.000	-2.2086928799e-07	8.4372801409e-08	-1.0675378417e-06
-20.000	-55.340	-1198.000	-9.5914499016e-08	7.1437209893e-08	6.1208683329e-07
-16.000	-55.340	-1198.000	-1.5893389160e-08	-1.3721278560e-07	-9.5920679638e-07
-12.000	-55.340	-1198.000	3.9024984691e-08	-3.2659218190e-08	-2.0947960888e-07
-8.000	-55.340	-1198.000	1.5635748408e-07	-3.4968981118e-08	-1.2383045142e-07
-4.000	-55.340	-1198.000	1.4298483910e-08	-1.8319060066e-07	-1.3517963822e-07
0.000	-55.340	-1198.000	1.6774950429e-07	-6.9690768382e-09	-3.1292168053e-07
4.000	-55.340	-1198.000	-1.5773735663e-07	-1.5851414761e-07	-4.8139800907e-07
8.000	-55.340	-1198.000	5.0532467738e-08	1.3378049166e-07	7.3204002970e-07
12.000	-55.340	-1198.000	-6.9979630628e-08	-1.4257437677e-07	-2.3392420597e-07
16.000	-55.340	-1198.000	-1.1922252346e-07	-4.8399867374e-07	-3.9282044630e-07
20.000	-55.340	-1198.000	-1.1443311101e-07	1.9913158084e-07	-1.3181157277e-07
24.000	-55.340	-1198.000	-8.9643871534e-08	-2.6131220329e-07	2.1268251550e-07
28.000	-55.340	-1198.000	-1.5250369785e-07	-4.7736229274e-07	8.5795425563e-07
-64.000	-55.340	-1196.000	-1.5896964706e-07	2.3091848529e-07	-7.4721457291e-08
-60.000	-55.340	-1196.000	-1.5725924867e-07	-9.9803672187e-08	-4.3664619516e-07
-56.000	-55.340	-1196.000	3.9412673781e-08	-5.1167362212e-07	-2.9061519756e-07
-52.000	-55.340	-1196.000	9.3948964274e-08	-3.7504774044e-08	3.9237029808e-07
-48.000	-55.340	-1196.000	-6.8893270924e-08	-2.4007022101e-07	-8.5726453604e-07
-44.000	-55.340	-1196.000	-5.6599728513e-08	-1.2336206889e-07	3.6306792063e-07
-40.000	-55.340	-1196.000	4.3446222042e-08	9.1198326825e-08	-1.9364497250e-07
-36.000	-55.340	-1196.000	-2.0953618854e-08	1.4045714446e-07	-6.9974351457e-07
-32.000	-55.340	-1196.000	5.0966275302e-08	2.5250948980e-07	-2.0937460641e-07
-28.000	-55.340	-1196.000	-1.4707536881e-07	2.6625680595e-07	-1.6236840412e-07
-24.000	-55.340	-1196.000	1.6523162356e-07	1.1795379629e-07	-9.2244728521e-07
-20.000	-55.340	-1196.000	1.3105759311e-07	1.7712044353e-07	3.1413571882e-07
-16.000	-55.340	-1196.000	2.6143913549e-07	1.1040736942e-07	-5.8169793329e-07
